target_index,alpha_shrunk,reliability,weighted_total_degree,ridge_total_degree,support_total_degree,val_correction_energy,val_correction_energy_share_pct,test_stage2_mse_gain_vs_best_single_pct,test_stage2_mae_gain_vs_best_single_pct,static_corridor_score,stress_corridor_score,overall_corridor_score
840,0.0413541124648527,0.9946242600286884,2.1433580638840795,53,727,121886.15895885057,13.69078109213447,7.485602565012898,8.599337301613401,0.44431554524361944,0.6763341067285382,0.5832366589327146
512,0.017675448106715,0.9766183693261083,1.2816070336848497,22,501,27515.89788332442,3.0907047829877183,-0.41780190381664384,2.0934800790616617,0.038089713843774166,0.525522041763341,0.2782772621809745
642,0.0244164637358611,0.9677011448882314,1.1238248143345118,28,498,19737.29913187874,2.2169788930321035,1.432458803318007,3.3252787728340376,0.168600154679041,0.5104408352668214,0.37587006960556846
724,0.0586931222672344,0.9675402705253232,2.8235796745866537,60,634,19636.213736910384,2.2056245438102944,6.690680861573951,9.323214949003479,0.5243619489559165,0.7975638051044083,0.6424013921113689
545,0.0620295151826832,0.9179454344735368,1.7608365546911955,31,560,7369.66441894143,0.8277926152081196,-2.3813926900504083,2.4950477729423595,0.08758700696055684,0.595707656612529,0.31453016241299303
193,0.7282455724002945,0.9069979207732114,1.4093139600008726,32,623,6424.616814373854,0.7216407765883726,1.0070057361570877,2.699422755182187,0.2273781902552204,0.5388631090487239,0.41908352668213456
817,0.8968943477635067,0.893255943774092,1.9046903271228075,37,671,5512.718413647054,0.6192124000666955,-0.7046699448733469,2.406884354677114,0.3930781129156999,0.6165893271461718,0.543068445475638
571,0.9717131059243964,0.8840917369185193,1.2032609628513455,27,516,5024.773965926983,0.5644043670962474,-0.5289879875265872,0.8399089857298898,0.3667826759474091,0.515661252900232,0.5230568445475638
73,0.1143983106619658,0.8811206532894174,2.0914942836388946,46,859,4882.7284052593195,0.5484491947221058,8.512721061375572,8.615671899526436,0.4381283836040217,0.6583526682134571,0.576276102088167
836,0.967406811972326,0.8664462841880542,1.4080762472003698,35,637,4273.849890327162,0.48005732372669296,-0.5782907070376375,1.1992420076911403,0.38070378963650425,0.5359628770301624,0.5329176334106729
