target_index,alpha_shrunk,reliability,weighted_total_degree,ridge_total_degree,support_total_degree,val_correction_energy,val_correction_energy_share_pct,test_stage2_mse_gain_vs_best_single_pct,test_stage2_mae_gain_vs_best_single_pct,static_corridor_score,stress_corridor_score,overall_corridor_score
567,0.9534199913169692,0.8091339442803364,23.235098098404706,458,1184,2792.7066463120977,0.3136889018064476,3.4598809799929056,4.992391798924816,0.9439288476411445,0.9854988399071926,0.9518561484918793
354,0.3784929481589856,0.8550154897647121,5.617231212090701,149,967,3884.954827786139,0.43637494654341824,-0.7829823408328832,2.9239832064279248,0.3370069605568445,0.9547563805104409,0.49956496519721577
746,0.7866621240680489,0.7742727273091996,6.233793674968183,125,945,2259.662219121964,0.2538150438772129,1.9043045903326845,5.49187452739289,0.6365042536736273,0.9506960556844548,0.7183874709976799
683,0.7011401815620699,0.6519622949386045,11.211860790848732,201,1002,1234.041543119716,0.13861288902504257,2.0789919934812278,3.354487405501114,0.6129156999226605,0.9332946635730859,0.6803944315545244
253,0.9154055408803946,0.6533660854859505,11.070181518793106,189,1111,1241.7070091321275,0.13947390735593077,-0.365859537561947,2.3721934574825085,0.6637664346481051,0.9332946635730859,0.718822505800464
650,0.2514281035440313,0.7138417699574324,6.034854523837566,148,1034,1643.3471368443302,0.1845878654402208,6.1994929600878885,6.972209114032038,0.6357308584686775,0.9303944315545244,0.709106728538283
472,0.3521423783341983,0.642848421904901,9.799745973199606,159,1215,1185.7403675366804,0.13318749185895956,8.527324988601624,5.652478141514132,0.6616395978344934,0.9263341067285383,0.7146171693735499
103,0.9165452277131458,0.658036061655408,7.360609483905137,139,618,1267.6605668386503,0.14238912332595768,2.7159147616624493,2.9236578329673932,0.896751740139211,0.9240139211136891,0.8950116009280742
542,0.5859999058604524,0.7146454827848345,5.195853497367352,113,717,1649.8311442705804,0.18531617722747248,2.207257444256385,3.1390589910046596,0.5587780355761794,0.9211136890951277,0.6516821345707657
133,0.9103774096435128,0.6327628352084533,9.782717173919082,139,856,1135.0838226908563,0.12749752941948184,-0.3215416591079116,3.798647474594403,0.6579659706109822,0.9187935034802783,0.7083816705336428
586,0.8265223986975574,0.6454732795648436,7.1719741653651,162,1113,1199.396817177091,0.13472144340948583,4.29778561775946,5.2548281772839385,0.7726218097447797,0.9170533642691415,0.798723897911833
106,0.2828546976524658,0.7823050049208276,4.297010346315801,91,689,2367.3434045553126,0.2659102608411606,5.412014566236418,4.48732103957979,0.6075019334880124,0.915893271461717,0.6977958236658933
353,0.4833687277586257,0.7466739348323806,4.547791060991585,69,710,1941.7115335375238,0.2181014462742214,-0.41184641753296913,5.617089380447871,0.32888631090487236,0.9153132250580046,0.48448375870069604
705,0.9064364826330747,0.6166145085844745,9.363015121896751,149,1023,1059.5261065482048,0.11901055960792259,2.8017900699684546,2.7914662359753017,0.8948182521268367,0.9083526682134571,0.8813805104408352
747,0.8464656131872054,0.7432592082540341,4.207242992706597,74,701,1907.1243834954957,0.2142164678331001,2.517055789401901,5.057391239214303,0.7146171693735499,0.9013921113689095,0.7732018561484918
745,0.9326951382314236,0.724211869861561,4.227401794865727,83,853,1729.9106204777831,0.1943110507068783,2.0139773115969555,2.904194027171316,0.8252126836813612,0.8967517401392111,0.8532482598607889
677,0.911381066352692,0.6857852895691491,4.536875159479678,125,923,1437.7893035221482,0.1614987196190159,1.774452043511357,2.585123103248425,0.7965970610982213,0.8950116009280742,0.8254060324825987
554,0.9295930994152096,0.7115009681189476,4.160423723980784,75,1048,1624.6683938989963,0.18248978816118247,-0.49555468394795044,4.750973469386495,0.627030162412993,0.8880510440835266,0.7022911832946637
743,0.9663196024864772,0.86199133898362,3.5522878719493747,74,791,4114.624014945696,0.4621723840200681,1.9631554295116043,4.674470708921908,0.8031709203402939,0.8839907192575406,0.849477958236659
304,0.9058379899574156,0.6141621274104493,6.008095629513264,108,907,1048.6046379316767,0.11778381296736283,-0.7481100067948961,2.486557292880535,0.6374709976798144,0.8834106728538283,0.6872099767981439
408,0.9009876202052732,0.5942872718758984,7.921861205250025,143,945,964.9646252245105,0.1083890046125951,1.0563520129461104,1.339750060074029,0.7447795823665894,0.8834106728538283,0.7587006960556845
606,0.8971677745247795,0.5786350876211698,17.90664768218994,239,1125,904.6487620844393,0.10161406572135773,3.373520764902477,4.861870086322444,0.9025522041763341,0.8776102088167053,0.8680394431554523
860,0.7924554070229951,0.5782160717954952,11.731895853765309,223,846,903.0956041240313,0.10143960829469756,3.3172052886912686,2.3558337544622536,0.7320185614849187,0.8747099767981439,0.7398491879350348
742,0.9583387733118734,0.8292891255449184,3.4684588396921754,77,733,3200.209279230263,0.35946136185775274,0.36524447497334167,3.4238085136063647,0.6434648105181747,0.8700696055684455,0.7276682134570766
578,0.9003938501081643,0.5918542419206944,6.11279172077775,128,736,955.2852543034857,0.10730177576297599,-1.6935772672581546,1.0185984121784728,0.6312838360402165,0.8660092807424593,0.6727088167053364
672,0.9023729750298686,0.5999638962179423,5.434569082222879,132,707,988.0058696134156,0.11097709694164591,-0.6782962661728128,2.4543819885966682,0.6293503480278423,0.8648491879350348,0.6741589327146172
591,0.9049170982638364,0.6103886853208493,4.777272956445813,94,906,1032.0684701210116,0.11592639900393613,0.2637963212753334,1.9425583792271666,0.6585460170146945,0.8636890951276102,0.7018561484918794
728,0.9179258268312278,0.6636931990336229,3.9426478557288647,70,804,1300.0657411448217,0.14602901280535324,0.6413964805162559,0.7765580799318971,0.6732405259087394,0.861368909512761,0.7279582366589328
597,0.9349340445922628,0.7333860035360945,3.5451135961338878,66,883,1812.1046260118726,0.20354343727533858,4.377592018978176,5.8461108781880915,0.8870843000773396,0.8596287703016241,0.9011020881670533
653,0.2647345634129359,0.7360913413721916,3.5272507639601827,76,788,1837.433653710397,0.20638850333090425,3.545065567866653,4.332333283973207,0.5467904098994586,0.8584686774941995,0.646461716937355
703,0.8228067132553969,0.5667768009826005,20.076884666457772,244,1171,861.8545073931338,0.09680722975257877,3.090712765882486,3.656627416371969,0.7498066511987626,0.8584686774941995,0.7430394431554525
276,0.7206293485639494,0.843171575342728,3.350166328251362,65,763,3541.8060380199004,0.39783098878110573,5.425817710637383,5.478198861562789,0.634184068058778,0.8578886310904872,0.7209976798143851
