target_index,alpha_shrunk,reliability,weighted_total_degree,ridge_total_degree,support_total_degree,val_correction_energy,val_correction_energy_share_pct,test_stage2_mse_gain_vs_best_single_pct,test_stage2_mae_gain_vs_best_single_pct,static_corridor_score,stress_corridor_score,overall_corridor_score
571,0.9717131059243964,0.8840917369185193,1.2032609628513455,27,516,5024.773965926983,0.5644043670962474,-0.5289879875265872,0.8399089857298898,0.3667826759474091,0.515661252900232,0.5230568445475638
836,0.967406811972326,0.8664462841880542,1.4080762472003698,35,637,4273.849890327162,0.48005732372669296,-0.5782907070376375,1.1992420076911403,0.38070378963650425,0.5359628770301624,0.5329176334106729
743,0.9663196024864772,0.86199133898362,3.5522878719493747,74,791,4114.624014945696,0.4621723840200681,1.9631554295116043,4.674470708921908,0.8031709203402939,0.8839907192575406,0.849477958236659
711,0.9620302007529276,0.8444151037396374,1.2760739186778665,30,443,3575.379574418565,0.4016021137492664,-0.10816186760502344,2.2639138345080387,0.36948955916473314,0.5174013921113689,0.5230568445475638
742,0.9583387733118734,0.8292891255449184,3.4684588396921754,77,733,3200.209279230263,0.35946136185775274,0.36524447497334167,3.4238085136063647,0.6434648105181747,0.8700696055684455,0.7276682134570766
555,0.9569470334631508,0.8235863379537612,2.2713920176029205,45,838,3075.4630605002612,0.34544932646921817,2.0504520987697945,2.3414237908926836,0.6836813611755607,0.6925754060324827,0.7575406032482599
520,0.9560454071532376,0.8198918376225727,2.787702255882323,71,708,2998.863955375936,0.33684538333844327,-0.18002074952332414,2.245377502317943,0.546983758700696,0.7824825986078886,0.6547273781902553
524,0.9559551356995468,0.8195219416780003,0.8737741746008396,18,175,2991.3675103357427,0.33600335017494726,-0.48368978414515795,0.9282252007991938,0.35556844547563804,0.4953596287703016,0.5108758700696056
567,0.9534199913169692,0.8091339442803364,23.235098098404706,458,1184,2792.7066463120977,0.3136889018064476,3.4598809799929056,4.992391798924816,0.9439288476411445,0.9854988399071926,0.9518561484918793
477,0.950659909068896,0.797824242392207,1.5765811689198017,26,729,2599.6312317028196,0.29200183529891127,1.0412416412037773,2.041944513945416,0.4965197215777262,0.5556844547563805,0.6160092807424594
700,0.9485928935941192,0.7893544481191566,2.6286198180168867,55,880,2468.6150053472657,0.2772855255072721,0.6829521310227145,1.946032906326009,0.5935808197989173,0.7569605568445475,0.6882250580046404
