target_index,in_top_static_10,in_top_stress_10,in_top_energy_10,alpha_shrunk,reliability,weighted_total_degree,ridge_total_degree,val_correction_energy_share_pct,test_stage2_mse_gain_vs_best_single_pct,test_stage2_mae_gain_vs_best_single_pct,static_corridor_score,stress_corridor_score,overall_corridor_score
567,True,True,False,0.9534199913169692,0.8091339442803364,23.235098098404706,458,0.3136889018064476,3.4598809799929056,4.992391798924816,0.9439288476411445,0.9854988399071926,0.9518561484918793
103,True,True,False,0.9165452277131458,0.658036061655408,7.360609483905137,139,0.14238912332595768,2.7159147616624493,2.9236578329673932,0.896751740139211,0.9240139211136891,0.8950116009280742
597,True,False,False,0.9349340445922628,0.7333860035360945,3.5451135961338878,66,0.20354343727533858,4.377592018978176,5.8461108781880915,0.8870843000773396,0.8596287703016241,0.9011020881670533
705,True,False,False,0.9064364826330747,0.6166145085844745,9.363015121896751,149,0.11901055960792259,2.8017900699684546,2.7914662359753017,0.8948182521268367,0.9083526682134571,0.8813805104408352
9,True,False,False,0.910851914760136,0.6347071654606219,3.4117761198431253,62,0.12857001061499987,6.8465823239851735,6.407959665847628,0.8863109048723897,0.8062645011600929,0.8805104408352669
606,True,False,False,0.8971677745247795,0.5786350876211698,17.90664768218994,239,0.10161406572135773,3.373520764902477,4.861870086322444,0.9025522041763341,0.8776102088167053,0.8680394431554523
551,True,False,False,0.8965883511881588,0.5762608448938816,4.141280942596495,82,0.10063010993649199,2.7330808569132925,5.656267412071763,0.8348801237432327,0.8039443155452436,0.816415313225058
454,True,False,False,0.8793287583530728,0.5055380069017895,8.461895504966378,166,0.07565337871894444,2.937598928286798,4.34515197430025,0.8484145398298532,0.7447795823665893,0.7662412993039444
243,True,False,False,0.8769634390772294,0.495845884176566,6.36129723675549,149,0.07277644335725343,2.9337853555785993,4.347074999849331,0.8306264501160093,0.712877030162413,0.744199535962877
842,True,False,False,0.8539219043027276,0.401430984212437,8.470592960715294,100,0.049625407919657596,5.723401090416113,4.553642083637776,0.8348801237432327,0.564385150812065,0.6656032482598608
253,False,True,False,0.9154055408803946,0.6533660854859505,11.070181518793106,189,0.13947390735593077,-0.365859537561947,2.3721934574825085,0.6637664346481051,0.9332946635730859,0.718822505800464
746,False,True,False,0.7866621240680489,0.7742727273091996,6.233793674968183,125,0.2538150438772129,1.9043045903326845,5.49187452739289,0.6365042536736273,0.9506960556844548,0.7183874709976799
472,False,True,False,0.3521423783341983,0.642848421904901,9.799745973199606,159,0.13318749185895956,8.527324988601624,5.652478141514132,0.6616395978344934,0.9263341067285383,0.7146171693735499
650,False,True,False,0.2514281035440313,0.7138417699574324,6.034854523837566,148,0.1845878654402208,6.1994929600878885,6.972209114032038,0.6357308584686775,0.9303944315545244,0.709106728538283
133,False,True,False,0.9103774096435128,0.6327628352084533,9.782717173919082,139,0.12749752941948184,-0.3215416591079116,3.798647474594403,0.6579659706109822,0.9187935034802783,0.7083816705336428
683,False,True,False,0.7011401815620699,0.6519622949386045,11.211860790848732,201,0.13861288902504257,2.0789919934812278,3.354487405501114,0.6129156999226605,0.9332946635730859,0.6803944315545244
542,False,True,False,0.5859999058604524,0.7146454827848345,5.195853497367352,113,0.18531617722747248,2.207257444256385,3.1390589910046596,0.5587780355761794,0.9211136890951277,0.6516821345707657
354,False,True,False,0.3784929481589856,0.8550154897647121,5.617231212090701,149,0.43637494654341824,-0.7829823408328832,2.9239832064279248,0.3370069605568445,0.9547563805104409,0.49956496519721577
724,False,False,True,0.0586931222672344,0.9675402705253232,2.8235796745866537,60,2.2056245438102944,6.690680861573951,9.323214949003479,0.5243619489559165,0.7975638051044083,0.6424013921113689
840,False,False,True,0.0413541124648527,0.9946242600286884,2.1433580638840795,53,13.69078109213447,7.485602565012898,8.599337301613401,0.44431554524361944,0.6763341067285382,0.5832366589327146
73,False,False,True,0.1143983106619658,0.8811206532894174,2.0914942836388946,46,0.5484491947221058,8.512721061375572,8.615671899526436,0.4381283836040217,0.6583526682134571,0.576276102088167
817,False,False,True,0.8968943477635067,0.893255943774092,1.9046903271228075,37,0.6192124000666955,-0.7046699448733469,2.406884354677114,0.3930781129156999,0.6165893271461718,0.543068445475638
836,False,False,True,0.967406811972326,0.8664462841880542,1.4080762472003698,35,0.48005732372669296,-0.5782907070376375,1.1992420076911403,0.38070378963650425,0.5359628770301624,0.5329176334106729
571,False,False,True,0.9717131059243964,0.8840917369185193,1.2032609628513455,27,0.5644043670962474,-0.5289879875265872,0.8399089857298898,0.3667826759474091,0.515661252900232,0.5230568445475638
193,False,False,True,0.7282455724002945,0.9069979207732114,1.4093139600008726,32,0.7216407765883726,1.0070057361570877,2.699422755182187,0.2273781902552204,0.5388631090487239,0.41908352668213456
642,False,False,True,0.0244164637358611,0.9677011448882314,1.1238248143345118,28,2.2169788930321035,1.432458803318007,3.3252787728340376,0.168600154679041,0.5104408352668214,0.37587006960556846
545,False,False,True,0.0620295151826832,0.9179454344735368,1.7608365546911955,31,0.8277926152081196,-2.3813926900504083,2.4950477729423595,0.08758700696055684,0.595707656612529,0.31453016241299303
512,False,False,True,0.017675448106715,0.9766183693261083,1.2816070336848497,22,3.0907047829877183,-0.41780190381664384,2.0934800790616617,0.038089713843774166,0.525522041763341,0.2782772621809745
