target_index,alpha_shrunk,reliability,weighted_total_degree,ridge_total_degree,support_total_degree,val_correction_energy,val_correction_energy_share_pct,test_stage2_mse_gain_vs_best_single_pct,test_stage2_mae_gain_vs_best_single_pct,static_corridor_score,stress_corridor_score,overall_corridor_score
567,0.9534199913169692,0.8091339442803364,23.235098098404706,458,1184,2792.7066463120977,0.3136889018064476,3.4598809799929056,4.992391798924816,0.9439288476411445,0.9854988399071926,0.9518561484918793
606,0.8971677745247795,0.5786350876211698,17.90664768218994,239,1125,904.6487620844393,0.10161406572135773,3.373520764902477,4.861870086322444,0.9025522041763341,0.8776102088167053,0.8680394431554523
103,0.9165452277131458,0.658036061655408,7.360609483905137,139,618,1267.6605668386503,0.14238912332595768,2.7159147616624493,2.9236578329673932,0.896751740139211,0.9240139211136891,0.8950116009280742
705,0.9064364826330747,0.6166145085844745,9.363015121896751,149,1023,1059.5261065482048,0.11901055960792259,2.8017900699684546,2.7914662359753017,0.8948182521268367,0.9083526682134571,0.8813805104408352
597,0.9349340445922628,0.7333860035360945,3.5451135961338878,66,883,1812.1046260118726,0.20354343727533858,4.377592018978176,5.8461108781880915,0.8870843000773396,0.8596287703016241,0.9011020881670533
9,0.910851914760136,0.6347071654606219,3.4117761198431253,62,1020,1144.631898333698,0.12857001061499987,6.8465823239851735,6.407959665847628,0.8863109048723897,0.8062645011600929,0.8805104408352669
454,0.8793287583530728,0.5055380069017895,8.461895504966378,166,981,673.5261985606522,0.07565337871894444,2.937598928286798,4.34515197430025,0.8484145398298532,0.7447795823665893,0.7662412993039444
842,0.8539219043027276,0.401430984212437,8.470592960715294,100,935,441.8046214739505,0.049625407919657596,5.723401090416113,4.553642083637776,0.8348801237432327,0.564385150812065,0.6656032482598608
551,0.8965883511881588,0.5762608448938816,4.141280942596495,82,688,895.8888096466981,0.10063010993649199,2.7330808569132925,5.656267412071763,0.8348801237432327,0.8039443155452436,0.816415313225058
243,0.8769634390772294,0.495845884176566,6.36129723675549,149,845,647.9134450990645,0.07277644335725343,2.9337853555785993,4.347074999849331,0.8306264501160093,0.712877030162413,0.744199535962877
745,0.9326951382314236,0.724211869861561,4.227401794865727,83,853,1729.9106204777831,0.1943110507068783,2.0139773115969555,2.904194027171316,0.8252126836813612,0.8967517401392111,0.8532482598607889
844,0.8779937296236704,0.50006759856444,5.218179412186146,93,842,658.9478227394883,0.07401587242822767,2.875649281827553,2.0791622026116956,0.8240525908739365,0.7082366589327146,0.7433294663573085
733,0.8894426367894134,0.54698059439267,3.2584030451253057,70,1132,795.4057195247934,0.08934341420277331,4.771866469129609,4.9441126276964065,0.8209590100541376,0.6867749419953596,0.7810324825986079
861,0.8719180694565181,0.4751719979670122,4.823080751113594,74,926,596.4409284803509,0.06699482743541631,3.2493960336908185,4.848638060688519,0.810904872389791,0.654292343387471,0.71084686774942
121,0.8930361464194474,0.5617053449598614,5.347512358799577,77,685,844.2595434579118,0.09483088722428193,2.0268754440462824,2.7643938136195088,0.805877803557618,0.8138051044083527,0.7819025522041764
310,0.8933620903269042,0.5630409314005052,4.195590863004327,74,800,848.8536246502592,0.09534691431432384,2.3188269582728354,2.2924785928224733,0.8047177107501934,0.7830626450116009,0.7821925754060325
743,0.9663196024864772,0.86199133898362,3.5522878719493747,74,791,4114.624014945696,0.4621723840200681,1.9631554295116043,4.674470708921908,0.8031709203402939,0.8839907192575406,0.849477958236659
190,0.8554188982928121,0.4559513857819013,4.415835768915713,78,855,552.0957807949972,0.06201378845080511,4.950714039504304,5.237842462173034,0.8020108275328693,0.6020881670533642,0.6847447795823666
677,0.911381066352692,0.6857852895691491,4.536875159479678,125,923,1437.7893035221482,0.1614987196190159,1.774452043511357,2.585123103248425,0.7965970610982213,0.8950116009280742,0.8254060324825987
694,0.8997292826375161,0.5891311129332057,2.7872973326593637,63,675,944.5877303653966,0.10610018355828857,3.872100587750195,3.7348075558479974,0.7853828306264501,0.6873549883990719,0.7862529002320185
857,0.9376328798297144,0.7444447399205142,2.251232017762959,66,1042,1919.027674602206,0.21555349702665225,6.412241447370477,5.402136386333134,0.7822892498066513,0.6763341067285382,0.824245939675174
382,0.911004070025746,0.6353306362633347,3.7893084660172462,64,673,1147.715152195768,0.1289163350380324,1.815596094464694,2.978118777853281,0.7788089713843774,0.8416473317865429,0.8004640371229699
533,0.8730817394370066,0.4799402473859126,4.670314347371459,77,776,607.949523756271,0.06828752268438046,2.4426048664155897,4.392130081839498,0.7788089713843774,0.6560324825986079,0.6899651972157772
586,0.8265223986975574,0.6454732795648436,7.1719741653651,162,1113,1199.396817177091,0.13472144340948583,4.29778561775946,5.2548281772839385,0.7726218097447797,0.9170533642691415,0.798723897911833
119,0.9075157635639104,0.7278112188172373,2.616581973619759,46,559,1761.4978661961336,0.19785906690598912,3.5366967590038403,2.2705629065498716,0.7722351121423047,0.740139211136891,0.8146751740139211
792,0.8815787586762663,0.5147575991517233,3.084306719712913,55,847,698.8397833859509,0.07849671016412799,3.600214416181949,4.259484689154865,0.7699149265274555,0.611368909512761,0.7157772621809745
835,0.928744539495548,0.7080239124144341,2.927737689577043,69,1012,1597.4756144644712,0.1794353774413364,2.318250534443276,2.9165138854307004,0.7668213457076565,0.775522041763341,0.8068445475638051
841,0.8393480916155902,0.4451759839273476,4.220160567201674,63,1189,528.5792035413443,0.05937230467638635,5.259461819441146,4.139597230498507,0.7664346481051817,0.574245939675174,0.6482018561484919
721,0.8522727767644243,0.3946735258625137,3.414663076400757,56,926,429.5185489809522,0.04824538306350865,6.160755708009014,3.6274610785165033,0.7606341840680587,0.4466357308584687,0.6061484918793504
187,0.8661865185399313,0.4516864180468898,3.5573160061612725,62,985,542.677261440703,0.0609558595785432,3.1154117886884265,5.432868171645774,0.7517401392111368,0.5493039443155452,0.6432714617169373
734,0.8736731811848191,0.4823637367064297,6.420748543925583,81,913,613.8800982900908,0.06895367049301332,1.859078802731705,4.310609451115376,0.7513534416086621,0.6879350348027843,0.671983758700696
703,0.8228067132553969,0.5667768009826005,20.076884666457772,244,1171,861.8545073931338,0.09680722975257877,3.090712765882486,3.656627416371969,0.7498066511987626,0.8584686774941995,0.7430394431554525
