ensemble,eta_mode,eta_mult,eta_raw,eta_num,eta_den,eta_clip_reason,target_mask,target_count,dynamic_source
stage2_anchor,anchor,0.0,0.0,0.0,0.0,anchor,all,7,static_mean
stage3_closed_form_all,closed_form,2.0,8.904460643087138,3597.6478071262236,404.0275937340698,clipped_high,all,7,static_mean
stage3_closed_form_top_alpha_14,closed_form,2.0,9.189742258980198,2054.893815754489,223.607339340388,clipped_high,top_alpha_14,1,static_mean
stage3_closed_form_top_alpha_29,closed_form,2.0,9.29214372973825,2286.9592190128437,246.11750372454313,clipped_high,top_alpha_29,3,static_mean
