horizon,setting,kind,alpha_summary,val_mse,val_mae,test_mse,test_mae,selection_reason,reference_best_single,test_mse_gain_vs_baseline_mean_pct,test_mse_gain_vs_static_mean_pct,test_mse_gain_vs_best_single_pct,test_mae_gain_vs_baseline_mean_pct,test_mae_gain_vs_static_mean_pct,test_mae_gain_vs_best_single_pct
96,baseline_mean,group_mean,0.00 static,0.668774515674885,0.5405850573532924,0.3812211444367823,0.40009697916970455,best_val_mse_with_mae_guard,static_p1,0.0,0.26454721115710245,2.021747642353888,0.0,0.25962476596231226,1.6085202224329949
96,static_mean,group_mean,1.00 static,0.6646273261418155,0.5402298608808174,0.38223232940436236,0.401138433889876,best_val_mse_with_mae_guard,static_p1,-0.2652489197769968,0.0,1.7618613863588515,-0.26030057070981616,0.0,1.3524066390421545
96,best_single_static_p1,single_reference,,0.6716557891711445,0.5440963192342004,0.3890875120381061,0.40663783091198674,best_val_mse_with_mae_guard,static_p1,-2.0634657117316024,-1.793459659580931,0.0,-1.6348165776847408,-1.3709474230087015,0.0
96,global_closed_form_alpha,adaptive_global_alpha,0.645142,0.6628282869960826,0.5385849121691135,0.37999589478776424,0.3992640885942838,best_val_mse_with_mae_guard,static_p1,0.32140128292942255,0.5850982359559121,2.3366510024231895,0.20817217294396617,0.467256472389474,1.813343903877679
96,per_variable_shrinkage_alpha,adaptive_variable_alpha,mean=0.615778; std=0.191568,0.6605922915470576,0.5377014604403462,0.38026096264795406,0.39949953052172876,best_val_mse_with_mae_guard,static_p1,0.2518700242209298,0.5157509202532151,2.2685254902983347,0.14932595822533606,0.4085630370180848,1.7554442424229344
96,posthoc_closed_loop,guarded_dynamic,Selective:selective_activation,,,0.3880877046079523,0.4057792693568773,one_se_and_double_guard,static_p1,-1.8012012899532825,-1.5318890510162828,0.25696209701428363,-1.4202282154103854,-1.1569161852676833,0.21113666507218473
