rank_scope,window_n,active_ratio_target,active_count,active_ratio_actual,active_fold_coverage,active_fold_entropy_norm,active_effective_folds,active_fold_concentration,active_mse_mean,inactive_mse_mean,active_vs_global_mse_lift_pct,active_mae_mean,inactive_mae_mean,active_vs_global_mae_lift_pct
global_val,1661,0.05,84,0.050571944611679714,0.25,-0.0,1.0,1.0,0.44214436246289146,0.35449253201572867,23.185637023436193,0.25193227851201616,0.24890875472714544,1.1525733447423516
global_val,1661,0.1,167,0.10054184226369657,0.5,0.13871325435016238,1.2120309241758773,0.9520958083832335,0.42188214286120834,0.3518879060092806,17.540389359893773,0.2528705107654164,0.24863590515521633,1.5292801620942333
global_val,1661,0.2,333,0.20048163756773027,0.5,0.27752248600331697,1.4692144312393869,0.8708708708708709,0.41668721767994493,0.3444412695393564,16.093033649694632,0.2515967278419672,0.24842598435869176,1.0178474018680332
centered_rolling_raw,168,0.05,51,0.030704394942805538,1.0,0.9183001704342755,3.5716738379770634,0.47058823529411764,0.3819180401711682,0.3581969126627065,6.406009130504791,0.2609650434232226,0.2486845965125052,4.779291685810516
centered_rolling_raw,168,0.1,97,0.058398555087296806,1.0,0.9157066536585644,3.5588553789830053,0.4742268041237113,0.38542451251208576,0.35728175941305285,7.382945773131872,0.26297101511578375,0.24819899560964623,5.584703362145563
centered_rolling_raw,168,0.2,190,0.11438892233594221,1.0,0.942443958430736,3.693242303365347,0.43157894736842106,0.38507409895721234,0.3555477706552119,7.285317214128473,0.26316102254286144,0.24724053250616865,5.660992674166396
centered_rolling_raw,336,0.05,81,0.04876580373269115,1.0,0.9554699924907881,3.7605403711581755,0.4074074074074074,0.37656240324669904,0.3580210726409521,4.913877595609688,0.26243710002781434,0.24837595727687645,5.370332716928245
centered_rolling_raw,336,0.1,154,0.09271523178807947,1.0,0.976561344398581,3.8721173838331246,0.35714285714285715,0.3714585635827217,0.3576444795248493,3.4918991793966043,0.2616047682764726,0.2477798827373198,5.036145692454775
centered_rolling_raw,336,0.2,291,0.17519566526189043,1.0,0.9767706730457741,3.8732412009789905,0.35051546391752575,0.3671614288054791,0.35717582018488514,2.29467643983352,0.2616844911550738,0.24638046034568706,5.068154986272108
centered_rolling_raw,504,0.05,63,0.037928958458759786,0.75,0.7824438867256873,2.958544865773583,0.4126984126984127,0.37277411452676884,0.3583792742306011,3.858424221526545,0.2654389282540669,0.24841599819756666,6.57558776252117
centered_rolling_raw,504,0.1,133,0.08007224563515954,1.0,0.8180825001453204,3.1083845591526433,0.3458646616541353,0.36797829162805595,0.3581372622049448,2.5222622143063074,0.2661045257160836,0.24757821706772162,6.842829802693126
centered_rolling_raw,504,0.2,321,0.19325707405177603,1.0,0.9736553650306193,3.856549771632042,0.32710280373831774,0.3605793064164224,0.358529023937325,0.4608343549868037,0.2610495993374292,0.24618992254656935,4.813241477254612
