target_index,alpha_raw,alpha_clipped,alpha_shrunk,denominator,reliability,val_baseline_mean_mse,val_static_mean_mse,val_adaptive_alpha_mse,val_baseline_mean_mae,val_static_mean_mae,val_adaptive_alpha_mae,val_static_mse_gain_vs_baseline_pct,val_adaptive_mse_gain_vs_baseline_pct,val_adaptive_mse_gain_vs_static_pct,test_baseline_mean_mse,test_static_mean_mse,test_adaptive_alpha_mse,test_baseline_mean_mae,test_static_mean_mae,test_adaptive_alpha_mae,test_static_mse_gain_vs_baseline_pct,test_adaptive_mse_gain_vs_baseline_pct,test_adaptive_mse_gain_vs_static_pct,alpha_minus_global,parent_count,child_count,parent_abs_strength_sum,parent_abs_strength_mean,parent_abs_strength_max,child_abs_strength_sum
0,1.4982322862246231,1.0,0.8417737103155127,357.3054524015725,0.3516525935248084,0.1421236735744928,0.13765004023825775,0.13805943581982966,0.13674332795551852,0.13695554678780744,0.13627943549916474,3.14770454753988,2.8596486795234037,-0.2974176984353131,0.44093224635123496,0.43418618875605447,0.4345386114957932,0.2582194229483478,0.25790700017816137,0.25699650752263314,1.5299533320606262,1.450026598950251,-0.08116857441928922,0.08581924532382101,417,412,1.3849780354648829,0.0033212902529133883,0.1742548793554306,3.3369519766420126
1,1.006669004694497,1.0,0.8534865178880163,438.5341026898247,0.3996469465954549,0.28108606959091587,0.2782991987634218,0.2783636092810724,0.20004401801155958,0.19951765902390806,0.19881073516321016,0.9914652944381048,0.9685504208037248,-0.023144341750461976,0.27441355803392375,0.26847500623827747,0.2689471579613722,0.21344413855637323,0.2110891505830064,0.2107015705835154,2.164088333752134,1.9920298806357764,-0.1758643121794667,0.0975320528963246,507,379,1.8147889431566,0.003579465371117554,0.15045283734798431,1.4602398425340652
2,1.0007056205961142,1.0,0.8758955526452918,636.669777362795,0.4914701170399078,0.3080199883156057,0.30402159206850016,0.30408378753459503,0.3560891549025504,0.35437586044323977,0.35405297176690714,1.2980963569833825,1.2779043342399934,-0.02045758186834919,0.3251142642896889,0.3230726236132715,0.3228405842836831,0.3751039218257453,0.37435120510856673,0.3738693175456539,0.6279763457558587,0.6993479695433706,0.07182265305962057,0.11994108765360012,373,339,1.5396404210478067,0.00412772230843916,0.20505917072296143,0.7652578139677644
3,1.0982633672326858,1.0,0.8736956281842946,614.10627548646,0.4824557154409504,0.18446063048358607,0.1798524967261702,0.18000953171482426,0.20015172369585543,0.1971566267790212,0.19692615875109853,2.4981665439042904,2.4130345630353314,-0.08731321027649531,0.6286848398506947,0.6154756709075576,0.6160391949175249,0.34353317460908683,0.33645080973970737,0.33647721864360675,2.101079603935429,2.0114442295400297,-0.09155910405627164,0.11774116319260286,338,297,1.5374575294554234,0.004548690915548589,0.13113251328468323,0.585312457755208
4,0.5692299893796535,0.5692299893796535,0.6664217819224394,606.8559354314482,0.4794908796813356,0.188003640880962,0.187476691378091,0.18680642887148094,0.1552636911389998,0.15544544366918567,0.1536481959064252,0.280286860617046,0.6368025660945018,0.3575177808415243,0.24710601556130837,0.24670058936331152,0.24586551575534787,0.17221607606213357,0.1700727613691407,0.16911038011476068,0.16406974029989446,0.5020111724688968,0.33849680299459906,-0.08953268306925233,427,326,1.9131083115935326,0.004480347333942699,0.21868517994880676,0.9429383352398872
5,1.2130020640752062,1.0,0.8830253869570359,715.6293771280037,0.5206852973606676,0.12490771324570334,0.11850788855418817,0.11879293900910029,0.15479225587550563,0.15157316799230183,0.15097534141550334,5.123642507909982,4.895433658748361,-0.24053289480537535,0.2414548031351877,0.23319902529521297,0.23364993466802952,0.21736859084354626,0.21261336990780305,0.2122501624044136,3.4191814504317017,3.2324345450226195,-0.19335817216462906,0.1270709219653442,485,457,2.255961885675788,0.004651467805517088,0.1754429042339325,1.2672644816339016
6,0.8038856789644039,0.8038856789644039,0.7834248287115675,884.4521244035813,0.573120550118239,0.14190264510702202,0.13853152913351346,0.1383205211602808,0.18941862157720982,0.1887771046742,0.18744883182964245,2.3756540767552896,2.524353188793359,0.15231765256074636,0.14186157783449074,0.1381666459509691,0.13825143567693055,0.19285751209055985,0.19116836705160448,0.1903023069015544,2.604603684749996,2.544834346740549,-0.061367724010265676,0.027470363719875768,503,414,2.6817217748612165,0.005331454820797647,0.21770596504211426,1.0715342573821545
7,0.2794059850246351,0.2794059850246351,0.5382569793195549,554.0349629716928,0.4568212780516815,0.08678537884455612,0.08831830074048544,0.08674693708466234,0.14614654867408577,0.14700799329976924,0.14501289752606975,-1.7663365838097977,0.04429520318466001,1.7792050375158288,0.10534703312814396,0.1041445435445826,0.10387456070832513,0.16395004224267143,0.16348002987060467,0.1621566206039357,1.1414555757812948,1.3977350629587468,0.25923858040809666,-0.21769748567213687,378,340,2.134314076974988,0.005646333536970868,0.1497594267129898,0.9162370897829533
8,0.8023789790823609,0.8023789790823609,0.7724316808177384,362.4597436050541,0.3549248957967739,0.09094392127413978,0.0895692447837004,0.08948250951628905,0.16353685748980676,0.16129446255264643,0.160854991581766,1.5115650075122382,1.606937261310152,0.09683599277944498,0.4009840032301275,0.3942146068911515,0.3947038510669545,0.32056256632184704,0.31596373589129667,0.31573416668282034,1.688196108683915,1.566185212523002,-0.12410604966194737,0.016477215826046665,341,410,1.6644883221015334,0.0048811974255176934,0.17589126527309418,0.9379679299890995
9,1.028290152324501,1.0,0.910851914760136,1144.6318983336985,0.6347071654606219,0.4276748184276561,0.4200903090968539,0.4201835660377598,0.3433507802175222,0.3412563428435368,0.34097120669350006,1.7734290175621243,1.7516234454574227,-0.022199260227256018,0.2835331831589567,0.2928582578277204,0.2911043335086826,0.2475785554830417,0.2538938610332127,0.2525761640889542,-3.288883002994327,-2.670287218368118,0.5988987068514197,0.15489744976844433,523,497,2.5195546206086874,0.004817504054701123,0.31542402505874634,0.8922214992344379
