shuffle_id,val_mse,test_mse
0,0.3514464699192989,0.38406590840933374
1,0.35125379383899274,0.3837027920583282
2,0.3514832075107188,0.38435962726299383
3,0.3516079512095831,0.3842900614243021
4,0.3515671743217464,0.3841971390177763
5,0.35157076946428156,0.3841959494784073
6,0.35085948319681165,0.38278307652961446
7,0.3515256869408368,0.38419198637002133
8,0.35157982295114404,0.384332088395037
9,0.35124857825158445,0.3835796450307432
10,0.35118402459416653,0.3836196914971855
11,0.35126417431897267,0.3836319619211446
12,0.351277222728818,0.3837933020160918
13,0.3515562148164911,0.38403645806004244
14,0.3514363796162582,0.38394285670644557
15,0.3515534127198527,0.38423676099515663
16,0.3510989827667215,0.3831562248602786
17,0.3515040164032312,0.3841406012414932
18,0.35163654776052916,0.38431377161307884
19,0.3515110666875378,0.38413913728877896
20,0.35161132062567985,0.38425885940090404
21,0.35161373967687076,0.38431759119936765
22,0.351622890729333,0.384543544290523
23,0.35138128831332954,0.3838687028837832
24,0.3517007083669924,0.3843869747185813
25,0.3514925913852852,0.38420994977065637
26,0.3513368160480458,0.38375182032301924
27,0.35156339349825283,0.3842305609733009
28,0.3509751892845719,0.38323885177664635
29,0.3512218713353689,0.3836193696310368
30,0.35144138882807446,0.3840595209514675
31,0.35157955616328357,0.38426632437403213
32,0.3512239906152811,0.38400401193609646
33,0.3513772949276624,0.3841623732190507
34,0.35104171855872146,0.38288118002237814
35,0.35130873850644156,0.3839616875204969
36,0.3515274626791403,0.38419559925129154
37,0.35146623941624955,0.3838535269880024
38,0.35121535189584413,0.3835640087716536
39,0.35143957153377925,0.38424374070142
40,0.35154476876163,0.38421261171615695
41,0.3514803779843153,0.3839595555922312
42,0.35165144123879233,0.38444552923261277
43,0.3514747153292313,0.384372304287958
44,0.3514553075228877,0.3840043809038487
45,0.3516999970502997,0.3843347157651226
46,0.35155959739842985,0.38432067695571037
47,0.35154378589724483,0.38411370829932107
48,0.3512406677993484,0.38387878664615305
49,0.351502957051401,0.3841204427263862
