target_index,alpha_raw,alpha_clipped,alpha_shrunk,denominator,reliability,val_baseline_mean_mse,val_static_mean_mse,val_adaptive_alpha_mse,val_baseline_mean_mae,val_static_mean_mae,val_adaptive_alpha_mae,val_static_mse_gain_vs_baseline_pct,val_adaptive_mse_gain_vs_baseline_pct,val_adaptive_mse_gain_vs_static_pct,test_baseline_mean_mse,test_static_mean_mse,test_adaptive_alpha_mse,test_baseline_mean_mae,test_static_mean_mae,test_adaptive_alpha_mae,test_static_mse_gain_vs_baseline_pct,test_adaptive_mse_gain_vs_baseline_pct,test_adaptive_mse_gain_vs_static_pct,alpha_minus_global,parent_count,child_count,parent_abs_strength_sum,parent_abs_strength_mean,parent_abs_strength_max,child_abs_strength_sum
0,1.0405876355059882,1.0,0.7556624119929146,426.5099070280002,0.3499599767186596,0.14117431137495845,0.1382824041132669,0.13849514290579992,0.13660946048130532,0.13778400402694235,0.13637696500066515,2.048465640473826,1.8977733576774216,-0.15384371851011158,0.43993657876477676,0.43458609825876304,0.4346724893588421,0.25820623087156575,0.2590181863461066,0.2571081868060277,1.2161935979582392,1.1965564265455693,-0.019878937781308365,0.13154324895075675,417,412,1.3849780354648829,0.0033212902529133883,0.1742548793554306,3.3369519766420126
1,0.6617678505377602,0.6617678505377602,0.6395067075094496,547.611680053437,0.4087139682914338,0.2808075010237646,0.2796963987207893,0.2793052190659896,0.20052546350689207,0.20080714965213708,0.1988295455677208,0.39568113348984574,0.5349864060959977,0.1398586669648824,0.2744350616157047,0.2689006649820737,0.26996502023577984,0.21378868213868948,0.21205603387824726,0.21093548330527703,2.0166507154908917,1.6288157036524407,-0.39581726351516605,0.015387544467291736,507,379,1.8147889431566,0.003579465371117554,0.15045283734798431,1.4602398425340652
2,0.7172751648206115,0.7172751648206115,0.6709180509023395,799.7789772301261,0.5023711512595839,0.3077435116882866,0.30556394981419305,0.3051738090341627,0.3559017438696336,0.3556605246108592,0.35428857341749936,0.7082397487883514,0.8350144053489519,0.1276789294900767,0.3244532073755121,0.32396646435085974,0.3228476967443365,0.37468536396780155,0.3752843109181747,0.3735137216322516,0.15001948311424954,0.4948358021061016,0.34533438785552867,0.046798887860181604,373,339,1.5396404210478067,0.00412772230843916,0.20505917072296143,0.7652578139677644
3,0.9106619300180866,0.9106619300180866,0.7626703817955354,741.6931677726777,0.4835271893811811,0.18421784426292184,0.1803975408844506,0.1804622892969834,0.20022835694650198,0.19812334158269737,0.19735547456979038,2.073796593243588,2.038648851290639,-0.035892070487972945,0.6287715412257046,0.6163154357996173,0.6172360045550307,0.3436778649679455,0.3378350044731199,0.33744291310702357,1.9810224555974232,1.834614945865219,-0.1493664935097712,0.1385512187533775,338,297,1.5374575294554234,0.004548690915548589,0.13113251328468323,0.585312457755208
4,0.4062839321655368,0.4062839321655368,0.5183336128900499,747.9396681266536,0.4856218607357573,0.18702199789214105,0.1879011616072003,0.18630663188127133,0.15547724817644895,0.15677330702303302,0.15365477898173205,-0.47008572519168557,0.3825036727937648,0.8486002493493181,0.24678202140702762,0.24724058873425184,0.24563448557629122,0.17250106632816933,0.17130041850279934,0.16945021291680673,-0.18581877424039706,0.46499976951065003,0.6496114437289845,-0.105785550152108,427,326,1.9131083115935326,0.004480347333942699,0.21868517994880676,0.9429383352398872
5,0.9316829999221002,0.9316829999221002,0.7829967706253816,846.530841604087,0.5165679073162354,0.12426294294741995,0.1196794468954654,0.11977203558132095,0.15507509130994568,0.15333424868115633,0.1517376949180469,3.6885461934488255,3.61403589805471,-0.07736389852838776,0.24178404947020354,0.23366032545886325,0.23440097490858194,0.2178614560344343,0.21399441466275604,0.2129573370235347,3.3599089886785203,3.0535821439831823,-0.316976982833606,0.15887760758322378,485,457,2.255961885675788,0.004651467805517088,0.1754429042339325,1.2672644816339016
6,0.6381520290028708,0.6381520290028708,0.6321412540033078,1057.32366421628,0.5716644756394668,0.14129601513853657,0.13946389330525052,0.13859593369477297,0.18949884748243392,0.18990654406393548,0.18727860395527215,1.2966549916426886,1.9109395555962794,0.622354352734022,0.14187103478688837,0.13834067129015926,0.13845107879318092,0.1930635528978473,0.19229530067045228,0.1904389187044979,2.488431484292934,2.4106090428146523,-0.07980841931154678,0.00802209096114992,503,414,2.6817217748612165,0.005331454820797647,0.21770596504211426,1.0715342573821545
7,0.1887364661000996,0.1887364661000996,0.4297053052963425,639.1711647004819,0.4465355631064235,0.08643252716159024,0.08892789485539401,0.08652249489559045,0.14611221874550906,0.14798470345340392,0.14500144193313408,-2.887070152581045,-0.10409013476144065,2.7048880036067295,0.10532597759552474,0.10400893112913119,0.10380126132307321,0.164185453776869,0.16396231981152684,0.16222360381891843,1.2504478918309245,1.4476165398689957,0.19966535931433393,-0.19441385774581538,378,340,2.134314076974988,0.005646333536970868,0.1497594267129898,0.9162370897829533
8,0.7037797407920425,0.7037797407920425,0.6527733199926844,445.0549416653165,0.3597031023361863,0.09095301415695022,0.08981548178876367,0.08957783561544634,0.16408306437035453,0.16222195344482007,0.161292942776225,1.250681331158086,1.51196588068081,0.26459377446334365,0.4014604992697138,0.39450703877307225,0.39519642304084873,0.3213160834293429,0.3171726262538032,0.3164848113547762,1.7320410125754302,1.5603219346012525,-0.17474574596196984,0.028654156950526533,341,410,1.6644883221015334,0.0048811974255176934,0.17589126527309418,0.9379679299890995
9,0.9781797265964032,0.9781797265964032,0.8430698454160932,1283.8374281814058,0.6183989546194971,0.4282754500080535,0.4205754571523188,0.4207185986783623,0.3433701848687472,0.3418963815493423,0.341192704106577,1.7979066639448746,1.764483892212148,-0.034034683576806675,0.28332717690074144,0.29299744676395323,0.2898871453903463,0.247742415779594,0.2547039100919326,0.25218662270112596,-3.413110584375601,-2.315333305249094,1.061545555416614,0.21895068237393533,523,497,2.5195546206086874,0.004817504054701123,0.31542402505874634,0.8922214992344379
