shuffle_id,val_mse,test_mse
0,0.35187034018542057,0.38448516622883544
1,0.3515730077399702,0.38388299723585795
2,0.3514484938538589,0.3839494862490928
3,0.35185739688786094,0.3844710153861865
4,0.35138818625488155,0.3836258560338863
5,0.3515911393427212,0.38392224296675487
6,0.3518103859343735,0.3844551529788483
7,0.35180531795683834,0.38430460569571084
8,0.35161505766031526,0.3843384796456054
9,0.3518426545652187,0.3845262647734762
10,0.3517349231698733,0.3843316730949792
11,0.35181753936913274,0.38428681253584696
12,0.3514300781304512,0.3837082333140053
13,0.35183977225849405,0.3844680271400834
14,0.3517579700170825,0.3843691195298782
15,0.3516652115712375,0.3841725447689089
16,0.3513957496902756,0.38358124661598003
17,0.35153876579828186,0.3838845797022114
18,0.35176588899608313,0.3843209287541643
19,0.35176494842768335,0.3841886497359672
20,0.3515832105096101,0.38391596068887335
21,0.3516881012093972,0.38407034401711126
22,0.3518313400590686,0.38433788556240794
23,0.3517741700689163,0.3843230443131223
24,0.3517703691415911,0.38439551936092864
25,0.35175377348634534,0.3841149463288027
26,0.3516115683096432,0.38397647207772984
27,0.3518256221600052,0.3845659910941273
28,0.3517477541810252,0.3843802456643938
29,0.3517289010564333,0.3841618949039914
30,0.35158199913477894,0.3839375227269173
31,0.35172922668350465,0.38393771939553994
32,0.35146496473875916,0.38355865480941
33,0.35159062790126117,0.3838882287818739
34,0.3518442761720675,0.38420253039248997
35,0.3518655899907226,0.3846711707664244
36,0.3519868162266051,0.38452616502716486
37,0.35183346062582166,0.3843925223925776
38,0.35149434855340617,0.3838042398146949
39,0.3519662993632413,0.38469743381031507
40,0.35168399793762944,0.3841560632794085
41,0.3515653763307384,0.3839209328089074
42,0.35160474245656004,0.3839088951805624
43,0.35172434324435625,0.38421042550680584
44,0.3515696572139387,0.3838989289326978
45,0.35169502643104156,0.38400843947826907
46,0.35156612159018114,0.3839235429594545
47,0.35150264532396586,0.3836654464282091
48,0.35153597590898217,0.3839634166558309
49,0.3514982113178199,0.3837899639525993
50,0.3519426163575746,0.3845160624467815
51,0.35198176430913747,0.3846604984170483
52,0.351819445398944,0.38443510880969345
53,0.35195227643772603,0.38446742686202323
54,0.35134204869297314,0.3835362018647225
55,0.35165709768757925,0.38408328230514777
56,0.35163731736395276,0.3840997740576728
57,0.35162622890743783,0.38419940357986737
58,0.3515001055109267,0.38390056894531444
59,0.35153284697528014,0.38383984662448767
60,0.35180370119996,0.3842698467855002
61,0.3514184368704406,0.3837022727932404
62,0.35197194965448897,0.38462980805803615
63,0.3516674765126334,0.3840806534621584
64,0.3519719492538356,0.3845532145597864
65,0.35166627264892675,0.38401173769462327
66,0.3514552661923126,0.3839210362825607
67,0.3518440238863039,0.3844619792237983
68,0.35160893939045573,0.38405099226145806
69,0.351465597097619,0.38344178677083657
70,0.3516075592797845,0.38396820156181005
71,0.3516320203644316,0.3841130035497974
72,0.3516971699639425,0.38408118297311655
73,0.35175272646420563,0.3843718967728182
