label,kind,selection_role,alpha_summary,val_mse,val_mae,test_mse,test_mae,val_mse_gain_vs_static_p1_pct,val_mae_gain_vs_static_p1_pct,test_mse_gain_vs_static_p1_pct,test_mae_gain_vs_static_p1_pct
best single static_p1,single_reference,reference_best_single,,0.3576248929600199,0.24837068880973415,0.39219783971761935,0.2683284202083329,0.0,0.0,0.0,0.0
baseline mean,group_mean,ablation,0.00 static,0.35439823340194915,0.2420341871430775,0.3873616167946523,0.26233186770290334,0.9022469133409837,2.5512276416444437,1.2331079963237674,2.2347809824892164
staticcausal mean,group_mean,ablation,1.00 static,0.3525345538271843,0.241406841318856,0.38503169693047234,0.2613188608842211,1.423373829126793,2.8038121262420126,1.827175486817212,2.6123059639636748
alpha=0.50 equal blend,global_blend,blind_equal_blend,0.50,0.35158948810104346,0.23956274064127603,0.38402847107472665,0.2597236760375415,1.687635558314221,3.5462913158828897,2.0829713515950528,3.206795673790582
alpha=0.60 grid selected,global_blend,stage1_grid_selected,0.60,0.3514781967010766,0.23958760617011374,0.38388220677436785,0.2597081326081775,1.7187551481855257,3.5362798572212935,2.1202648513410254,3.2125883622251235
global closed-form alpha,adaptive_global_alpha,stage15_global_adaptive,0.624119,0.3514738261131724,0.2396197126353777,0.38387288946500764,0.25972975808136356,1.7199772633095671,3.523353023778171,2.122640516991535,3.2045290321067257
per-variable shrinkage alpha,adaptive_variable_alpha,stage15_selected,mean=0.668060; std=0.148481,0.35026601922048844,0.2394803984602779,0.38293949889233936,0.25966600196056305,2.057707358853835,3.579444254095014,2.360630245170639,3.228289512174773
shuffled alpha median,negative_control,shuffled_target_identity,256 shuffles,0.3516555074143126,,0.38404345814322455,,1.6691750667296652,,2.079150048420949,
