ensemble,kind,candidate,group,projection,weight,weight_mean,weight_min,weight_max,weight_std,alpha_mean
blend_baseline_static_alpha_0.15,baseline_static_blend,static_p2,static,2,0.0375,0.0375,0.0375,0.0375,0.0,0.15
blend_baseline_static_alpha_0.15,baseline_static_blend,static_p3,static,3,0.0375,0.0375,0.0375,0.0375,0.0,0.15
blend_baseline_static_alpha_0.20,baseline_static_blend,baseline_p0,baseline,0,0.2,0.2,0.2,0.2,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,baseline_p1,baseline,1,0.2,0.2,0.2,0.2,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,baseline_p2,baseline,2,0.2,0.2,0.2,0.2,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,baseline_p3,baseline,3,0.2,0.2,0.2,0.2,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,static_p0,static,0,0.05,0.05,0.05,0.05,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,static_p1,static,1,0.05,0.05,0.05,0.05,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,static_p2,static,2,0.05,0.05,0.05,0.05,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,static_p3,static,3,0.05,0.05,0.05,0.05,0.0,0.2
blend_baseline_static_alpha_0.25,baseline_static_blend,baseline_p0,baseline,0,0.1875,0.1875,0.1875,0.1875,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,baseline_p1,baseline,1,0.1875,0.1875,0.1875,0.1875,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,baseline_p2,baseline,2,0.1875,0.1875,0.1875,0.1875,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,baseline_p3,baseline,3,0.1875,0.1875,0.1875,0.1875,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,static_p0,static,0,0.0625,0.0625,0.0625,0.0625,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,static_p1,static,1,0.0625,0.0625,0.0625,0.0625,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,static_p2,static,2,0.0625,0.0625,0.0625,0.0625,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,static_p3,static,3,0.0625,0.0625,0.0625,0.0625,0.0,0.25
blend_baseline_static_alpha_0.30,baseline_static_blend,baseline_p0,baseline,0,0.175,0.175,0.175,0.175,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,baseline_p1,baseline,1,0.175,0.175,0.175,0.175,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,baseline_p2,baseline,2,0.175,0.175,0.175,0.175,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,baseline_p3,baseline,3,0.175,0.175,0.175,0.175,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,static_p0,static,0,0.075,0.075,0.075,0.075,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,static_p1,static,1,0.075,0.075,0.075,0.075,0.0,0.3
