ensemble,kind,candidate,group,projection,weight,weight_mean,weight_min,weight_max,weight_std,alpha_mean
top5_inverse_val_mse,topk_inverse_val_mse,baseline_p2,baseline,2,0.19929518425804757,0.19929518425804757,0.19929518425804757,0.19929518425804757,0.0,
top5_inverse_val_mse,topk_inverse_val_mse,static_p1,static,1,0.20056954416568223,0.20056954416568223,0.20056954416568223,0.20056954416568223,0.0,
top5_inverse_val_mse,topk_inverse_val_mse,static_p2,static,2,0.199828889179699,0.199828889179699,0.199828889179699,0.199828889179699,0.0,
top5_inverse_val_mse,topk_inverse_val_mse,static_p3,static,3,0.20032890950894838,0.20032890950894838,0.20032890950894838,0.20032890950894838,0.0,
top6_mean_by_val_mse,topk_mean,baseline_p0,baseline,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,
top6_mean_by_val_mse,topk_mean,baseline_p1,baseline,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,
top6_mean_by_val_mse,topk_mean,baseline_p2,baseline,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,
top6_mean_by_val_mse,topk_mean,static_p1,static,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,
top6_mean_by_val_mse,topk_mean,static_p2,static,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,
top6_mean_by_val_mse,topk_mean,static_p3,static,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,
top6_inverse_val_mse,topk_inverse_val_mse,baseline_p0,baseline,0,0.1661391885204818,0.1661391885204818,0.1661391885204818,0.1661391885204818,0.0,
top6_inverse_val_mse,topk_inverse_val_mse,baseline_p1,baseline,1,0.16675337781969657,0.16675337781969657,0.16675337781969657,0.16675337781969657,0.0,
top6_inverse_val_mse,topk_inverse_val_mse,baseline_p2,baseline,2,0.16618444406937563,0.16618444406937563,0.16618444406937563,0.16618444406937563,0.0,
top6_inverse_val_mse,topk_inverse_val_mse,static_p1,static,1,0.16724708285607284,0.16724708285607284,0.16724708285607284,0.16724708285607284,0.0,
top6_inverse_val_mse,topk_inverse_val_mse,static_p2,static,2,0.1666294796884345,0.1666294796884345,0.1666294796884345,0.1666294796884345,0.0,
top6_inverse_val_mse,topk_inverse_val_mse,static_p3,static,3,0.16704642704593867,0.16704642704593867,0.16704642704593867,0.16704642704593867,0.0,
blend_baseline_static_alpha_global_closed_form,adaptive_global_alpha,baseline_p0,baseline,0,0.06101138375207707,0.06101138375207707,0.06101138375207707,0.06101138375207707,0.0,0.7559544649916917
blend_baseline_static_alpha_global_closed_form,adaptive_global_alpha,baseline_p1,baseline,1,0.06101138375207707,0.06101138375207707,0.06101138375207707,0.06101138375207707,0.0,0.7559544649916917
blend_baseline_static_alpha_global_closed_form,adaptive_global_alpha,baseline_p2,baseline,2,0.06101138375207707,0.06101138375207707,0.06101138375207707,0.06101138375207707,0.0,0.7559544649916917
blend_baseline_static_alpha_global_closed_form,adaptive_global_alpha,baseline_p3,baseline,3,0.06101138375207707,0.06101138375207707,0.06101138375207707,0.06101138375207707,0.0,0.7559544649916917
blend_baseline_static_alpha_global_closed_form,adaptive_global_alpha,static_p0,static,0,0.18898861624792293,0.18898861624792293,0.18898861624792293,0.18898861624792293,0.0,0.7559544649916917
blend_baseline_static_alpha_global_closed_form,adaptive_global_alpha,static_p1,static,1,0.18898861624792293,0.18898861624792293,0.18898861624792293,0.18898861624792293,0.0,0.7559544649916917
blend_baseline_static_alpha_global_closed_form,adaptive_global_alpha,static_p2,static,2,0.18898861624792293,0.18898861624792293,0.18898861624792293,0.18898861624792293,0.0,0.7559544649916917
blend_baseline_static_alpha_global_closed_form,adaptive_global_alpha,static_p3,static,3,0.18898861624792293,0.18898861624792293,0.18898861624792293,0.18898861624792293,0.0,0.7559544649916917
blend_baseline_static_alpha_variable_shrink,adaptive_variable_alpha_shrink,baseline_p0,baseline,0,,0.053777066769755875,0.007071723518900924,0.24558113797332123,0.03623711338259299,0.7848917329209765
blend_baseline_static_alpha_variable_shrink,adaptive_variable_alpha_shrink,baseline_p1,baseline,1,,0.053777066769755875,0.007071723518900924,0.24558113797332123,0.03623711338259299,0.7848917329209765
blend_baseline_static_alpha_variable_shrink,adaptive_variable_alpha_shrink,baseline_p2,baseline,2,,0.053777066769755875,0.007071723518900924,0.24558113797332123,0.03623711338259299,0.7848917329209765
blend_baseline_static_alpha_variable_shrink,adaptive_variable_alpha_shrink,baseline_p3,baseline,3,,0.053777066769755875,0.007071723518900924,0.24558113797332123,0.03623711338259299,0.7848917329209765
blend_baseline_static_alpha_variable_shrink,adaptive_variable_alpha_shrink,static_p0,static,0,,0.19622293323024412,0.004418862026678766,0.24292827648109908,0.036237113382593,0.7848917329209765
blend_baseline_static_alpha_variable_shrink,adaptive_variable_alpha_shrink,static_p1,static,1,,0.19622293323024412,0.004418862026678766,0.24292827648109908,0.036237113382593,0.7848917329209765
blend_baseline_static_alpha_variable_shrink,adaptive_variable_alpha_shrink,static_p2,static,2,,0.19622293323024412,0.004418862026678766,0.24292827648109908,0.036237113382593,0.7848917329209765
blend_baseline_static_alpha_variable_shrink,adaptive_variable_alpha_shrink,static_p3,static,3,,0.19622293323024412,0.004418862026678766,0.24292827648109908,0.036237113382593,0.7848917329209765
