model,split,n,actual_gain_mean,pred_gain_mean,rmse,r2,pearson,spearman,positive_rate
ridge,val,108675,-0.18377700982035183,-0.18377700982035183,1.0446321386747601,0.5767828721938658,0.7594622256997214,0.2869196762374671,0.12895330112721418
ridge,test,219324,-0.22852762747729266,-0.218279984343581,0.4130976483985462,0.7156845993969412,0.8552508340516055,0.4734270903926134,0.08949772938666083
huber,val,108675,-0.18377700982035183,-0.2122985047058002,1.0526381874695023,0.5702709513276584,0.7556471836614183,0.5998270442583455,0.12895330112721418
huber,test,219324,-0.22852762747729266,-0.2373563206767717,0.39460536691196196,0.7405695704117687,0.8609430657756002,0.74179717687414,0.08949772938666083
