model,feature,coef_standardized,abs_coef,train_mean,train_std
huber,dynamic_energy_target,-1.2396126227450037,1.2396126227450037,0.22256923721752103,1.3343797165399427
huber,dynamic_abs_mean_target,-0.009319263245235231,0.009319263245235231,0.23762564315707901,0.38816678884210176
huber,alpha_shrunk,0.00024308779269342225,0.00024308779269342225,0.6361727388868095,0.130502579612027
huber,input_sq_mean,-0.00017246241478312412,0.00017246241478312412,0.8000343763223593,0.9158152972039209
huber,gamma_active,0.0001574156806388971,0.0001574156806388971,0.2,0.40000184036290976
huber,lambda_rank,-0.00014231968820116128,0.00014231968820116128,0.500096618357488,0.288676431895659
huber,gamma_selected,0.0001110768920455932,0.0001110768920455932,0.005693438078058464,0.013756425521567694
huber,input_delta_abs_mean,9.340252368683891e-05,9.340252368683891e-05,0.061839365592397354,0.022126327004920787
huber,input_abs_mean,-8.69570528087527e-05,8.69570528087527e-05,0.5749703788469379,0.16280232072829912
huber,reliability,-4.3946907233798614e-05,4.3946907233798614e-05,0.47971161959189274,0.22054353772424326
ridge,dynamic_energy_target,-1.3286435703328887,1.3286435703328887,0.22256923721752103,1.3343797165399427
ridge,dynamic_abs_mean_target,0.15893075326838654,0.15893075326838654,0.23762564315707901,0.38816678884210176
ridge,input_abs_mean,-0.022278629750943527,0.022278629750943527,0.5749703788469379,0.16280232072829912
ridge,input_delta_abs_mean,0.017902790656143606,0.017902790656143606,0.061839365592397354,0.022126327004920787
ridge,input_sq_mean,0.015688293012785463,0.015688293012785463,0.8000343763223593,0.9158152972039209
ridge,alpha_shrunk,-0.011620352439961276,0.011620352439961276,0.6361727388868095,0.130502579612027
ridge,gamma_active,0.01075060957813647,0.01075060957813647,0.2,0.40000184036290976
ridge,gamma_selected,0.008605182498438363,0.008605182498438363,0.005693438078058464,0.013756425521567694
ridge,lambda_rank,-0.006358701915747442,0.006358701915747442,0.500096618357488,0.288676431895659
ridge,reliability,-0.0015813178895643942,0.0015813178895643942,0.47971161959189274,0.22054353772424326
