profile,split,n,lambda_spearman_unit_gain,gamma_spearman_unit_gain,dynamic_energy_spearman_unit_gain,input_shift_spearman_unit_gain,static_risk_spearman_unit_gain,oracle_unit_mse_gain_mean,oracle_eta2_mse_gain_mean,selected_gamma_mse_gain_mean,oracle_unit_positive_rate,gamma_active_ratio,gamma_active_unit_gain_mean,gamma_inactive_unit_gain_mean
weather96_static_pat3,val,5175,-0.33762670981185866,-0.23081600908192673,-0.7114387281738047,-0.4449246669909039,0.001173329372520341,-0.1837770098203518,0.015980662818600437,0.0006163588064898953,0.06492753623188406,0.2,-0.37973337595773293,-0.13478791828600653
weather96_static_pat3,test,10444,-0.25303410761174283,0.009316885995401616,-0.8912409230042833,-0.7434906897179755,0.09560890038159561,-0.22852762747729263,0.00534775458080996,0.00010695091087469214,0.03782075833014171,0.05065109153581004,-0.29161853927197906,-0.2251615062126039
