model,split,top_frac,top_n,pred_gain_mean_top,oracle_gain_mean_top,oracle_gain_mean_all,positive_rate_top,positive_rate_all,worst_5pct_gain_mean_top,worst_5pct_gain_mean_all,p05_gain_top,p05_gain_all,positive_gain_capture_share
huber,val,0.01,52,-0.012816405916539323,-0.02640002560473314,-0.18377700982035178,0.0,0.06492753623188406,-0.05495278246899423,-1.1502073395364616,-0.05279990839857691,-0.5459065956652903,0.0
huber,val,0.05,259,-0.024079763655215886,-0.03226000479044276,-0.18377700982035178,0.0,0.06492753623188406,-0.11342939693396423,-1.1502073395364616,-0.07744830188959548,-0.5459065956652903,0.0
huber,val,0.1,518,-0.030372779045599464,-0.03461964280476972,-0.18377700982035178,0.023166023166023165,0.06492753623188406,-0.10732237507833672,-1.1502073395364616,-0.07328569250090664,-0.5459065956652903,0.0022370577180875
huber,val,0.2,1035,-0.03965709076796024,-0.04070092368853673,-0.18377700982035178,0.035748792270531404,0.06492753623188406,-0.10730469100979655,-1.1502073395364616,-0.0901264308231072,-0.5459065956652903,0.016792595043410477
huber,test,0.01,104,0.005305071318614236,-0.019905208159700483,-0.22852762747729263,0.2403846153846154,0.03782075833014171,-0.09293818919678462,-0.8785552214761875,-0.08373550446300332,-0.5983396176384713,0.013266389039418482
huber,test,0.05,522,-0.014234267817843278,-0.021881973187268873,-0.22852762747729263,0.11494252873563218,0.03782075833014171,-0.0884358420016377,-0.8785552214761875,-0.05655814348745325,-0.5983396176384713,0.046550058525232946
huber,test,0.1,1044,-0.023995378245552222,-0.029749502854955135,-0.22852762747729263,0.11206896551724138,0.03782075833014171,-0.11622808277711873,-0.8785552214761875,-0.08256403198861054,-0.5983396176384713,0.10033187288834418
huber,test,0.2,2089,-0.03729649038591945,-0.04101573480181886,-0.22852762747729263,0.10052656773575874,0.03782075833014171,-0.13243704834864806,-0.8785552214761875,-0.10528570361427975,-0.5983396176384713,0.22106026101366305
ridge,val,0.01,52,-0.01292581916492938,-0.03487004993792415,-0.18377700982035178,0.19230769230769232,0.06492753623188406,-0.15162873113980388,-1.1502073395364616,-0.14377043876373208,-0.5459065956652903,0.024328596280119904
ridge,val,0.05,259,-0.029612359613438836,-0.05308603004032542,-0.18377700982035178,0.06177606177606178,0.06492753623188406,-0.27693195402032356,-1.1502073395364616,-0.19948271538066026,-0.5459065956652903,0.026693742165374828
ridge,val,0.1,518,-0.035582720601495,-0.046832025575800025,-0.18377700982035178,0.03861003861003861,0.06492753623188406,-0.23021111043686854,-1.1502073395364616,-0.1443744071814534,-0.5459065956652903,0.03152107180645935
ridge,val,0.2,1035,-0.043084467779098724,-0.047081341231694954,-0.18377700982035178,0.05217391304347826,0.06492753623188406,-0.19609036971823132,-1.1502073395364616,-0.1349456388256835,-0.5459065956652903,0.07893719875616473
ridge,test,0.01,104,-0.01766707565750277,-0.017948095239266507,-0.22852762747729263,0.20192307692307693,0.03782075833014171,-0.10958244625452931,-0.8785552214761875,-0.0868149512403237,-0.5983396176384713,0.0983041154974507
ridge,test,0.05,522,-0.030612038844773284,-0.023528328789021818,-0.22852762747729263,0.17624521072796934,0.03782075833014171,-0.11009667692548951,-0.8785552214761875,-0.08377915675242777,-0.5983396176384713,0.2120417425247496
ridge,test,0.1,1044,-0.036336400179402935,-0.03073768387241345,-0.22852762747729263,0.1235632183908046,0.03782075833014171,-0.1260576381276318,-0.8785552214761875,-0.08746869278928673,-0.5983396176384713,0.2694475853655638
ridge,test,0.2,2089,-0.04495790439722388,-0.0419603539110189,-0.22852762747729263,0.10292005744375299,0.03782075833014171,-0.1402758684980543,-0.8785552214761875,-0.11165153764557563,-0.5983396176384713,0.3602603304807276
