model,split,rank_bin,rank_bin_label,n,pred_gain_mean,pred_gain_min,pred_gain_max,oracle_gain_mean,positive_rate,nonzero_dynamic_rate,worst_5pct_gain_mean,p05_gain,p50_gain,p95_gain
huber,val,1,top_0_10pct,10868,0.0005271000661370971,0.00038694979014705644,0.0010518294712305032,-5.664821723898966e-08,0.0008281192491718807,0.0021163047478836954,-6.608283474122482e-06,0.0,0.0,0.0
huber,val,2,top_10_20pct,10868,0.00030704651571651463,0.0002349580418347652,0.0003869074287611296,8.607154420432945e-07,0.0043246227456753775,0.006532940743467059,-2.3654914195794388e-05,0.0,0.0,0.0
huber,val,3,top_20_30pct,10868,0.00015867550501260768,6.945204818306627e-05,0.00023495312532081924,-3.1049005328444616e-07,0.003036437246963563,0.014078027235921973,-5.196381345624235e-05,0.0,0.0,0.0
huber,val,4,top_30_40pct,10868,-5.360595120991093e-05,-0.0002708206669670421,6.94505303642512e-05,-2.0976647170307508e-05,0.005336768494663232,0.04508649245491351,-0.000573694769277019,0.0,0.0,0.0
huber,val,5,top_40_50pct,10868,-0.003076696010997426,-0.008912035489258396,-0.00027096206326582273,-0.00018870421856874436,0.28772543246227456,0.8064961354435038,-0.06012759700965563,-0.025024990881840143,-0.00011217505143839506,0.024607697629632518
huber,val,6,top_50_60pct,10867,-0.02105334500206631,-0.03601413822896618,-0.008912188929342146,-0.01551536747672038,0.33311861599337445,1.0,-0.23949170493795707,-0.13915699533387613,-0.01573266081487014,0.09218688657760807
huber,val,7,top_60_70pct,10867,-0.05212438841993144,-0.08392117006666128,-0.0360146673999068,-0.04069068102615704,0.22600533725959326,1.0,-0.438532627219827,-0.22200329743944974,-0.03436624920187567,0.17035012226965443
huber,val,8,top_70_80pct,10867,-0.13731600080258327,-0.2034464602679708,-0.08392310036752443,-0.13774741603348017,0.16775559031931536,1.0,-0.8486928378795484,-0.47001743805318175,-0.12726946856197627,0.22190536622510987
huber,val,9,top_80_90pct,10867,-0.32564498906244127,-0.5092615482857554,-0.20348597979058888,-0.3083717400284156,0.1372964019508604,1.0,-1.4323802245255923,-0.9402443204031442,-0.31818149054318684,0.3916200284452413
huber,val,10,top_90_100pct,10867,-1.5848063275658018,-112.094651116867,-0.5092670405889614,-1.335320244480463,0.12413729640195086,1.0,-10.834478876746985,-3.829603447408428,-0.9870839390378277,0.7413176386174597
huber,test,1,top_0_10pct,21933,0.00042015902251073045,0.00026505198414580877,0.0009346606322599427,1.277437482427305e-06,0.0007750877672912962,0.0015501755345825924,-1.07723385331974e-05,0.0,0.0,0.0
huber,test,2,top_10_20pct,21933,0.00015142729555021927,4.7487691652775554e-05,0.000265045708562478,-6.582708416613343e-07,0.0007750877672912962,0.0020061095153421785,-4.739178040871543e-05,0.0,0.0,0.0
huber,test,3,top_20_30pct,21933,-5.456715690242426e-05,-0.00014907441710773628,4.748077796876138e-05,8.638899712014365e-07,0.0009574613595951306,0.0033283180595449777,-5.4067329871107354e-05,0.0,0.0,0.0
huber,test,4,top_30_40pct,21933,-0.0002856125566087115,-0.0005964576027882584,-0.0001490755831085877,-4.469323544004037e-06,0.0061095153421784525,0.0227966990379793,-0.0005402325500861354,0.0,0.0,0.0
huber,test,5,top_40_50pct,21932,-0.006265348099360384,-0.014301382303877452,-0.0005964896543253217,-0.004323891433951062,0.24329746489148277,0.9879627940908262,-0.07505731956536633,-0.039281991741696255,-0.002876453302099612,0.030261901245170194
huber,test,6,top_50_60pct,21932,-0.028906895722825437,-0.04212341728501784,-0.014306706404924957,-0.013369886201710826,0.24607878898413277,1.0,-0.19052622086687235,-0.11130672168154787,-0.029221262448064538,0.13513275248466022
huber,test,7,top_60_70pct,21932,-0.09420476872081894,-0.16342297516740187,-0.04212351208085227,-0.10209232766213679,0.19268648550063833,1.0,-0.5693843670383909,-0.3629098252395175,-0.09568887648313446,0.16478459274955085
huber,test,8,top_70_80pct,21932,-0.2582013641230929,-0.3605354467553967,-0.16342779734418858,-0.24995112078787074,0.1039120919204815,1.0,-0.8968000619275444,-0.6208050016595027,-0.2553724940699895,0.1527473812749426
huber,test,9,top_80_90pct,21932,-0.5191611883600971,-0.73734126559286,-0.36054162951465424,-0.5117575307423226,0.054486594929782965,1.0,-1.4652688575915114,-1.0320154767104897,-0.4903495773888669,0.03231121583415537
huber,test,10,top_90_100pct,21932,-1.4670983483957398,-37.96941805380829,-0.7373758814439579,-1.403820210846507,0.0459146452671895,1.0,-7.199032398611938,-3.74795135042922,-1.0517222476566732,-0.04456772897618783
ridge,val,1,top_0_10pct,10868,0.021187955388133527,-0.01268846193379572,0.17541503684903742,-0.040259445729918936,0.19258373205741627,0.7481597350018403,-0.6480035487511606,-0.22842436833750984,-0.004311056376365456,0.1255044712517297
ridge,val,2,top_10_20pct,10868,-0.021319542215653277,-0.02889139852398051,-0.012691770918708156,-0.019309304017561646,0.22184394552815606,0.7513801987486198,-0.3284055450408563,-0.1733192613977735,-0.0004378409783709378,0.10930343401293043
ridge,val,3,top_20_30pct,10868,-0.035092360117606906,-0.04087875054887566,-0.028894966446484982,-0.024118550290625984,0.19736842105263158,0.6784136915715863,-0.3148845266168433,-0.16960981209407844,0.0,0.05910763942510913
ridge,val,4,top_30_40pct,10868,-0.046348954190034986,-0.051526184694844906,-0.04087935767201703,-0.02052918956048395,0.17031652557968346,0.5908170776591829,-0.3026073545464869,-0.16248768978737635,0.0,0.05014478942370001
ridge,val,5,top_40_50pct,10868,-0.05637156404134329,-0.061182366241966546,-0.05152736485283105,-0.022870816073011693,0.10388295914611705,0.41580787633419214,-0.3354874050461631,-0.17424622048804142,0.0,0.021397746838629345
ridge,val,6,top_50_60pct,10867,-0.06619475676379838,-0.0711538286705742,-0.06118449332354545,-0.0202656254462539,0.07002852673230882,0.27450078218459556,-0.36110002754579645,-0.18486385572402797,0.0,0.011405191314101788
ridge,val,7,top_60_70pct,10867,-0.07662744104226293,-0.08336788271092112,-0.07115389071136752,-0.026215193353109952,0.04665501058249747,0.23465537866936598,-0.4490906711210309,-0.208249793376601,0.0,0.0
ridge,val,8,top_70_80pct,10867,-0.09507333829026898,-0.11215691778407888,-0.08336945953951273,-0.053659602019855764,0.04674703229962271,0.3091009478236864,-0.6140490719268028,-0.389403750362342,0.0,0.0
ridge,val,9,top_80_90pct,10867,-0.179216121554327,-0.3129670973444259,-0.11215898434828443,-0.27201157053872704,0.11880003680868685,0.871261617741787,-1.406326438153744,-0.90613360833506,-0.28665634968790715,0.3532771663859513
ridge,val,10,top_90_100pct,10867,-1.2827858388698619,-115.95049084867759,-0.31296849709315794,-1.3386036637619356,0.12128462317106838,1.0,-10.832322914798167,-3.820624729990636,-0.9839492440834066,0.6869478384565197
ridge,test,1,top_0_10pct,21933,-0.01832251916358531,-0.03570529028490693,0.06313225304760506,-0.03222324469901664,0.24884876669858205,0.8886609218985091,-0.3906788775676645,-0.2126554385319145,-0.010362813879409159,0.09627932828265719
ridge,test,2,top_10_20pct,21933,-0.04577961173050383,-0.05445441360830777,-0.0357053292102075,-0.02456226345088461,0.1855651301691515,0.6801623124971504,-0.33517207490406725,-0.19357746654424884,0.0,0.06367726386589381
ridge,test,3,top_20_30pct,21933,-0.06156192555090457,-0.06864221473493318,-0.054455105042732044,-0.024588331608277923,0.11051839693612366,0.5234578033100807,-0.3535898492499168,-0.19262613641751358,0.0,0.035804914277699926
ridge,test,4,top_30_40pct,21933,-0.07577267716117077,-0.08287965490475079,-0.06864274903815265,-0.023809054622394868,0.07782793051566134,0.46345689144211916,-0.34352938149970497,-0.1954498194846868,0.0,0.022852854804502748
ridge,test,5,top_40_50pct,21932,-0.08975399157705437,-0.09687104900456708,-0.08288030397113624,-0.02245495777093781,0.05083895677548787,0.3539120919204815,-0.3454875431211931,-0.1968479421493612,0.0,0.0003837293255660156
ridge,test,6,top_50_60pct,21932,-0.10378165656066639,-0.11091172769819942,-0.09687127081938798,-0.023628741528700366,0.034151012219587815,0.21999817618092285,-0.35787975468331085,-0.20301479023511698,0.0,0.0
ridge,test,7,top_60_70pct,21932,-0.11930720933278467,-0.1297761293095654,-0.110912561971226,-0.03160697442928545,0.023253693233631224,0.18005653839139157,-0.43157063687441904,-0.28070481678846987,0.0,0.0
ridge,test,8,top_70_80pct,21932,-0.16382051648889154,-0.2247027504857887,-0.12977808802549923,-0.19359127674458484,0.06465438628488054,0.707824183840963,-0.8876385926527901,-0.6079829221360039,-0.18970282366475053,0.049158229742170115
ridge,test,9,top_80_90pct,21932,-0.3442054406696477,-0.5139737462996705,-0.2247092277266253,-0.5048870844283505,0.05453219040671165,1.0,-1.4525465119222625,-1.0197901025540583,-0.48601243721836024,0.030732655628041197
ridge,test,10,top_90_100pct,21932,-1.1605249209166217,-37.992995294878874,-0.5139784478753521,-1.4039612289309242,0.04477475834397228,1.0,-7.199032398611938,-3.74795135042922,-1.0494813333083024,-0.058260760802688674
