dataset,horizon,route,variant,source_prefix,split,control_mode,shuffle_count,selected_ensemble,mse_median,mae_median,mse_gain_vs_adaptive_anchor_pct,mae_gain_vs_adaptive_anchor_pct,target_gate_active_ratio_median
Solar-96,96,mse_primary_target_gate,static_p0,solar96_static_stage31_target_quantile_gate_valref_msefirst,val,shuffle_gamma,32,target_gate_g10_d20,0.145984444365124,0.2007769929571736,,,0.200000848587879
Solar-96,96,mse_primary_target_gate,static_p0,solar96_static_stage31_target_quantile_gate_valref_msefirst,val,shuffle_target,32,target_gate_g10_d20,0.1461239347883195,0.2008355094313627,,,0.200000848587879
Solar-96,96,mse_primary_target_gate,static_p0,solar96_static_stage31_target_quantile_gate_valref_msefirst,test,shuffle_gamma,32,target_gate_g10_d20,0.1956954934313935,0.2268599503752965,0.16043725889299096,0.06307395106518726,0.0735434568283596
Solar-96,96,mse_primary_target_gate,static_p0,solar96_static_stage31_target_quantile_gate_valref_msefirst,test,shuffle_target,32,target_gate_g10_d20,0.1958137969796841,0.2269167683298631,0.1000813747336293,0.038044360278531336,0.0735434568283596
Solar-192,192,mse_primary_target_gate,static_mean,solar192_static_stage31_target_quantile_gate_staticmean_valref_msefirst,val,shuffle_gamma,32,target_gate_g10_d20,0.1641993648843115,0.2163614521593844,,,0.2
Solar-192,192,mse_primary_target_gate,static_mean,solar192_static_stage31_target_quantile_gate_staticmean_valref_msefirst,val,shuffle_target,32,target_gate_g10_d20,0.1642329822496387,0.2163687245901402,,,0.2
Solar-192,192,mse_primary_target_gate,static_mean,solar192_static_stage31_target_quantile_gate_staticmean_valref_msefirst,test,shuffle_gamma,32,target_gate_g10_d20,0.2332014262808206,0.2542775638684404,0.013068573664434358,0.003732005370489884,0.0649310420183638
Solar-192,192,mse_primary_target_gate,static_mean,solar192_static_stage31_target_quantile_gate_staticmean_valref_msefirst,test,shuffle_target,32,target_gate_g10_d20,0.2331844756941878,0.254277725089135,0.020336269965958522,0.003668604307747801,0.0649310420183638
