dataset,horizon,baseline_mse,baseline_mae,static_anchor_mse,static_anchor_mae,static_mse_gain_vs_baseline_pct,static_mae_gain_vs_baseline_pct,guarded_posthoc_mode,guarded_posthoc_mse_gain_vs_static_pct,guarded_posthoc_mae_gain_vs_static_pct,adaptive_fusion_mse,adaptive_fusion_mae,stage3_dynamic_mse_gain_vs_adaptive_pct,stage3_dynamic_mae_gain_vs_adaptive_pct,final_headline_route
ETTh1,96,0.38686542709668476,0.4048621455828349,0.38821375370025635,0.40604230761528015,-0.34852600132568085,-0.29149725290970474,Selective,0.0324534527842929,0.0647549152337749,0.380260962647954,0.3994995305217287,-0.4250272486107763,-0.0855155117605044,"Adaptive fusion headline; Stage3 lambda/dynamic add-on is negative, and guarded post-hoc stays Selective but weaker than the fusion route."
Weather,96,0.18091837565104166,0.22194800774256387,0.17370627323786417,0.2143539935350418,3.98638468161372,3.42152844026891,Active_MSE_only,0.2723000447254565,-0.3176000154242174,,,,,Static anchor headline; post-hoc dynamic is MSE-positive but MAE-negative.
ECL,96,0.1480039358139038,0.23984862367312113,0.14495346446832022,0.23757004737854004,2.0610744767079505,0.9500059911481731,Bypass,0.0,0.0,,,,,Static anchor headline; strict guarded dynamic branch bypasses.
Solar-96,96,0.2039566934108734,0.2367512285709381,0.20551040271917978,0.23135586082935333,-0.7617839269321744,2.278918582240073,Selective,0.252994826640496,0.3190398643733661,0.1960099664487209,0.227003130218567,0.0450737857799128,0.0249662335224223,Adaptive fusion headline; Stage3 lambda/dynamic is a weak positive add-on.
Solar-192,192,0.24023420115311941,0.2636537154515584,0.24389599760373434,0.26129766305287677,-1.524261088986655,0.8936162324306491,Selective,0.0573630540853063,0.001252513227026,0.2332319063643128,0.2542870538749475,0.0,0.0,Adaptive fusion headline; Stage3 lambda/dynamic falls back to the adaptive anchor.
Traffic,96,0.393647700548172,0.2695437893271446,0.3923036605119705,0.2687237560749054,0.3414322081215872,0.3042300675100902,Bypass,0.0,0.0,0.3826398811674583,0.2594195388379919,0.0703712701773527,0.0961468777875233,Adaptive fusion headline; Stage3 lambda/dynamic is a weak add-on.
