group,rank,target,target_name,abs_delta_sum,mass_share,active_source_count,top_source,top_source_mass
fold1_all,1,524,524,2686.5558362603188,0.14418313100945235,86,27,338.97025871276855
fold1_all,2,215,215,2274.959833443165,0.1220934354981314,73,603,134.86032843589783
fold1_all,3,53,53,1737.4643677473068,0.09324691829516522,64,231,231.03788137435913
fold1_all,4,726,726,1597.6733366847038,0.08574455848056255,52,641,206.57830429077148
fold1_all,5,548,548,998.3924881219864,0.053582119147065815,52,844,125.83405423164368
fold1_all,6,142,142,963.21871560812,0.051694399345372455,39,671,113.6339139342308
fold1_all,7,722,722,956.7592469453812,0.05134773005085016,37,330,123.78982281684875
fold1_all,8,748,748,662.1253244876862,0.03553520128514229,26,420,92.27391993999481
fold1_all,9,642,642,577.8902844786644,0.03101444216103138,32,193,127.08208829164505
fold1_all,10,656,656,408.63377690315247,0.021930717610592617,13,383,84.64327651262283
fold1_all,11,571,571,370.0587621331215,0.01986045860714639,21,699,74.49325400590897
fold1_all,12,683,683,300.2805110812187,0.01611557209586076,8,84,100.06809061765671
fold1_all,13,512,512,296.58650493621826,0.01591732072703914,14,142,86.062264919281
fold1_all,14,321,321,271.8250148296356,0.014588411376323258,7,19,71.54936438798904
fold1_all,15,390,390,246.5799691081047,0.013233550373443878,8,511,54.77662551403046
fold1_all,16,298,298,240.15673810243607,0.012888825895696392,16,703,47.09546226263046
fold1_all,17,102,102,212.3854505419731,0.011398385556215052,3,321,87.10127103328705
fold1_all,18,359,359,203.75558733940125,0.010935234677332852,1,162,203.75558733940125
fold1_all,19,295,295,202.69560712575912,0.010878347244007167,17,481,45.67055428028107
fold1_all,20,807,807,198.139080286026,0.010633805776670373,4,705,149.638916015625
fold1_all,21,855,855,168.35668969154358,0.009035432771761475,7,745,91.40732592344284
fold1_all,22,119,119,149.63658595085144,0.008030754911087666,11,713,46.01049017906189
fold1_all,23,520,520,143.20105493068695,0.007685370311344004,9,107,51.4978683590889
fold1_all,24,725,725,126.46706646680832,0.006787284063355712,5,265,64.71038234233856
fold1_all,25,788,788,122.54743498563766,0.006576923745609597,12,99,51.290892601013184
fold1_all,26,555,555,104.08027213811874,0.005585820815873686,2,276,58.42145800590515
fold1_all,27,233,233,96.80782848596573,0.005195520461157501,8,650,35.217310428619385
fold1_all,28,134,134,84.09026712179184,0.004512989396088003,3,796,52.99248802661896
fold1_all,29,466,466,82.42796260118484,0.004423776185911097,2,674,69.33359169960022
fold1_all,30,784,784,78.60905468463898,0.0042188215398871265,2,199,75.02696627378464
fold1_all,31,817,817,73.73333144187927,0.003957149314955734,7,838,49.39570504426956
fold1_all,32,206,206,69.06626433134079,0.0037066753290640546,3,445,44.10561692714691
fold1_all,33,224,224,68.96806758642197,0.0037014052676917065,4,703,52.07931888103485
fold1_all,34,271,271,68.5584065914154,0.003679419420937554,1,852,68.5584065914154
fold1_all,35,613,613,67.67528539896011,0.0036320237268408885,5,675,25.787929952144623
fold1_all,36,34,34,65.06140160560608,0.0034917407874975313,2,721,64.43701088428497
fold1_all,37,843,843,64.56703615188599,0.0034652089886723515,7,470,24.3961244225502
fold1_all,38,795,795,63.664977967739105,0.003416796976687503,5,107,39.87173014879227
fold1_all,39,144,144,62.52881175279617,0.0033558207632001028,2,201,52.968913078308105
fold1_all,40,711,711,61.62126034498215,0.0033071139387356573,3,693,40.489763617515564
fold1_all,41,833,833,58.79829156398773,0.0031556097443719592,4,751,31.463412940502167
fold1_all,42,796,796,58.08911019563675,0.0031175491208917687,2,470,44.561856627464294
fold1_all,43,404,404,55.39883476495743,0.002973166365231982,2,583,49.18055731058121
fold1_all,44,526,526,53.97949892282486,0.0028969928932681623,3,746,27.97374391555786
fold1_all,45,686,686,51.80081647634506,0.0027800665102877668,1,622,51.80081647634506
fold1_all,46,480,480,51.699214220047,0.0027746136805966957,2,703,40.65371787548065
fold1_all,47,56,56,51.41403877735138,0.002759308773227975,3,638,35.70048677921295
fold1_all,48,269,269,50.913404166698456,0.0027324405188327433,1,397,50.913404166698456
fold1_all,49,640,640,49.55199360847473,0.002659375803696481,1,629,49.55199360847473
fold1_all,50,742,742,48.11135172843933,0.0025820588709444007,4,391,16.18261706829071
fold1_all,51,170,170,46.14960420131683,0.0024767750361947387,3,483,31.16468036174774
fold1_all,52,699,699,44.24042159318924,0.0023743122761086476,3,115,30.650277972221375
fold1_all,53,472,472,43.9182146191597,0.0023570199460101493,1,420,43.9182146191597
fold1_all,54,420,420,42.43593889474869,0.002277468591789133,2,583,38.19756668806076
fold1_all,55,351,351,41.0309864282608,0.002202067052463729,3,232,17.159132182598114
fold1_all,56,497,497,38.66345626115799,0.002075005516036708,1,93,38.66345626115799
fold1_all,57,38,38,38.40559506416321,0.0020611665203059118,1,552,38.40559506416321
fold1_all,58,737,737,38.20540630817413,0.0020504227117307022,3,66,18.277913331985474
fold1_all,59,598,598,36.087465047836304,0.0019367562105219688,1,602,36.087465047836304
fold1_all,60,164,164,36.04923516511917,0.0019347044742007342,1,17,36.04923516511917
fold1_all,61,201,201,31.88224858045578,0.0017110690058653813,1,583,31.88224858045578
fold1_all,62,330,330,29.910562932491302,0.0016052518081533687,2,713,27.565791308879852
fold1_all,63,193,193,28.980943739414215,0.001555360641144939,1,699,28.980943739414215
fold1_all,64,69,69,28.229068160057068,0.0015150086880241125,1,839,28.229068160057068
fold1_all,65,605,605,28.1780224442482,0.0015122691465522381,1,740,28.1780224442482
fold1_all,66,747,747,26.334177911281586,0.001413312975878394,3,413,11.00734692811966
fold1_all,67,657,657,24.27697902917862,0.001302906420419031,1,835,24.27697902917862
fold1_all,68,804,804,20.18136614561081,0.0010831014638328842,1,415,20.18136614561081
fold1_all,69,696,696,18.49150902032852,0.0009924095496752423,3,106,8.485612034797668
fold1_all,70,199,199,18.46332085132599,0.0009908967359792253,1,405,18.46332085132599
fold1_all,71,835,835,17.305428206920624,0.0009287544999646663,2,206,14.686803817749023
fold1_all,72,218,218,16.042953670024872,0.0008609995219766711,1,650,16.042953670024872
fold1_all,73,310,310,15.911246538162231,0.0008539310120309913,1,173,15.911246538162231
fold1_all,74,476,476,15.168150186538696,0.0008140502259432085,1,507,15.168150186538696
fold1_all,75,168,168,14.339403331279755,0.0007695727150749425,3,100,10.143159568309784
fold1_all,76,367,367,14.314254701137543,0.0007682230285411423,1,396,14.314254701137543
fold1_all,77,112,112,13.706873118877411,0.000735625835858319,2,579,13.08639508485794
fold1_all,78,834,834,11.933668315410614,0.0006404607858585653,1,713,11.933668315410614
fold1_all,79,650,650,10.215024590492249,0.0005482239411952457,1,826,10.215024590492249
fold1_all,80,10,10,9.88618814945221,0.0005305758182643051,3,327,7.811191439628601
fold1_all,81,353,353,9.857885777950287,0.000529056875503815,1,15,9.857885777950287
fold1_all,82,140,140,8.343206644058228,0.0004477664824095689,2,83,4.293409883975983
fold1_all,83,756,756,5.87900322675705,0.00031551664812164723,1,120,5.87900322675705
fold1_all,84,50,50,5.2799190282821655,0.00028336476268209693,1,283,5.2799190282821655
fold1_all,85,120,120,4.394645571708679,0.0002358535600316423,1,478,4.394645571708679
fold1_all,86,697,697,4.278486371040344,0.0002296194825477999,1,835,4.278486371040344
fold1_all,87,602,602,4.09026825428009,0.00021951811892791253,2,567,2.329903483390808
fold1_all,88,45,45,3.7660637497901917,0.00020211858458218669,1,838,3.7660637497901917
fold1_all,89,106,106,3.569554924964905,0.00019157227199419384,2,601,2.9677354097366333
fold1_all,90,856,856,3.500407576560974,0.00018786124501335942,1,835,3.500407576560974
fold1_all,91,354,354,3.236987352371216,0.00017372390523345732,1,833,3.236987352371216
fold1_all,92,435,435,3.1340155601501465,0.00016819757475199028,1,795,3.1340155601501465
fold1_all,93,305,305,2.9118624329566956,0.00015627497369900803,1,703,2.9118624329566956
fold1_all,94,244,244,1.8581477403640747,9.97238008113639e-05,1,329,1.8581477403640747
fold1_all,95,707,707,1.3466031551361084,7.227002562693736e-05,2,497,0.740221381187439
fold1_all,96,415,415,1.214286983013153,6.516882946999112e-05,1,578,1.214286983013153
fold1_all,97,287,287,1.1862254738807678,6.366281340550102e-05,1,516,1.1862254738807678
fold1_all,98,702,702,1.1708505749702454,6.283766730805057e-05,1,566,1.1708505749702454
fold1_all,99,21,21,0.7330421209335327,3.9341191696625914e-05,1,737,0.7330421209335327
fold1_all,100,114,114,0.6555757522583008,3.5183696277109453e-05,1,295,0.6555757522583008
fold4_all,1,840,840,36387.7522084713,0.6357019724221271,360,858,753.5933213829994
fold4_all,2,722,722,5145.4837483763695,0.0898927240454097,100,789,257.789608001709
fold4_all,3,524,524,3624.9350751638412,0.06332840687662294,82,353,205.51926177740097
fold4_all,4,724,724,2578.2756170630455,0.04504303771842444,93,140,192.18516546487808
fold4_all,5,700,700,1052.2442697286606,0.018382937036178423,43,351,118.34917587041855
fold4_all,6,726,726,1049.66817766428,0.018337932145601903,49,82,91.48469734191895
fold4_all,7,53,53,878.7965348362923,0.015352767254007617,48,285,94.27643483877182
fold4_all,8,843,843,649.1882461905479,0.0113414603411671,14,354,139.5824317932129
fold4_all,9,495,495,612.7683461308479,0.010705196738767991,26,304,118.36834985017776
fold4_all,10,748,748,534.487719476223,0.009337617106981886,23,502,92.24123400449753
fold4_all,11,287,287,364.91743499040604,0.006375187229636524,5,294,182.23551857471466
fold4_all,12,37,37,363.531525850296,0.006350975094495055,10,753,64.27742487192154
fold4_all,13,530,530,353.09998112916946,0.006168733731614554,15,290,102.55243456363678
fold4_all,14,396,396,302.91346114873886,0.005291964274743985,7,76,85.47066342830658
fold4_all,15,233,233,230.78127896785736,0.004031799309763726,14,636,75.36096858978271
fold4_all,16,50,50,212.03386914730072,0.0037042779687241636,6,443,98.77670747041702
fold4_all,17,370,370,205.59704929590225,0.003591825321135031,11,170,83.08504509925842
fold4_all,18,860,860,164.83759701251984,0.0028797487943151203,3,327,71.87497538328171
fold4_all,19,807,807,162.0627224445343,0.0028312711300179086,12,226,88.15568470954895
fold4_all,20,591,591,157.16198843717575,0.002745654237362782,3,253,97.89784890413284
fold4_all,21,762,762,136.62390172481537,0.0023868493802222898,8,167,54.08553582429886
fold4_all,22,449,449,102.43338596820831,0.0017895336081437696,6,443,64.6334918141365
fold4_all,23,104,104,90.59032201766968,0.0015826326962724922,1,208,90.59032201766968
fold4_all,24,204,204,87.48900163173676,0.0015284519522915125,4,104,49.14831954240799
fold4_all,25,512,512,86.36701494455338,0.0015088506000016672,6,427,29.505447804927826
