split,risk_group,n_windows,coverage_pct,gamma_min,gamma_mean,gamma_max,lambda_mean,anchor_mse,stage3_mse,mse_gain_pct,sse_gain_share_pct,positive_window_fraction
val,all,1661,100.0,0.009999999776482582,0.012515060192064878,0.06000000238418579,0.5003017483992319,0.3498837707839623,0.34903282036347244,0.24320945741015984,100.00000000000318,0.6911499096929561
val,gamma_floor,1494,89.94581577363034,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.4500309082996125,0.34290739738483195,0.3425400882462869,0.10711613145307261,38.824729751616815,0.7121820615796519
val,gamma_active_gt_floor,167,10.054184226369657,0.010030100122094154,0.03501506175422026,0.06000000238418579,0.9500301023443302,0.4122951591570217,0.40711750169925326,1.255813303351577,61.17527024838239,0.5029940119760479
val,gamma_max_saturated,1,0.060204695966285374,0.06000000238418579,0.06000000238418579,0.06000000238418579,1.0,0.48856084186037885,0.49750807886233794,-1.8313455020032166,-0.6330165312465167,0.0
val,top_rank_1pct_gamma,17,1.0234798314268514,0.05518362671136856,0.0575918222174925,0.06000000238418579,0.9951836256419911,0.4647016687936988,0.4698603069067101,-1.1100967479635755,-6.2045472205744625,0.23529411764705882
val,top_rank_5pct_gamma,84,5.057194461167971,0.0350150540471077,0.04750753540013518,0.06000000238418579,0.9750150513081324,0.4360002638985106,0.4256834855170409,2.3662321415179672,61.31256678600919,0.5833333333333334
val,top_rank_10pct_gamma,167,10.054184226369657,0.010030100122094154,0.03501506175422026,0.06000000238418579,0.9500301023443302,0.4122951591570217,0.40711750169925326,1.255813303351577,61.17527024838239,0.5029940119760479
val,bottom_rank_10pct_gamma,167,10.054184226369657,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.3663834288136331,0.38368655210852776,0.38283327622130153,0.2223887917199845,10.081660176103794,0.9760479041916168
test,all,3413,100.0,0.009999999776482582,0.012588846661235593,0.06000000238418579,0.7028345264824052,0.38263988116019004,0.3823706126088354,0.0703712719484904,100.00000000001458,0.589803691766774
test,gamma_floor,3090,90.53618517433343,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.676505752809611,0.38847463544049937,0.38816549915136006,0.07957695585164144,103.94091763344812,0.6042071197411003
test,gamma_active_gt_floor,323,9.463814825666569,0.010632166638970375,0.037355214691844885,0.06000000238418579,0.9547104108444309,0.3268213340203881,0.32693346271285656,-0.03430886566954214,-3.9409176334457947,0.4520123839009288
test,gamma_max_saturated,48,1.4063873425139173,0.06000000238418579,0.06000000238418579,0.06000000238418579,1.0,0.3564536212546647,0.3594005251115628,-0.8267285506948807,-15.391653659877974,0.0625
test,top_rank_1pct_gamma,35,1.0254907705830647,0.06000000238418579,0.06000000238418579,0.06000000238418579,1.0,0.34339423123424034,0.34582982086443037,-0.7092692330432984,-9.275775704673936,0.08571428571428572
test,top_rank_5pct_gamma,171,5.01025490770583,0.037423260509967804,0.04746616213468083,0.06000000238418579,0.974932308782611,0.3523445169224474,0.3525527496203499,-0.05909917365006744,-3.8745664555417183,0.43859649122807015
test,top_rank_10pct_gamma,342,10.02050981541166,0.009999999776482582,0.035835480529880316,0.06000000238418579,0.9444990152852577,0.32722383405672645,0.3273341871464439,-0.03372403787015487,-4.106659367058907,0.4590643274853801
test,bottom_rank_10pct_gamma,342,10.02050981541166,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.7591530525544931,0.34480709003778187,0.34455182586419025,0.07403101066270071,9.499353504633595,0.7076023391812866
