rank_type,split,sample_id,fold,gamma,gamma_rank_pct,lambda_value,lambda_rank_pct,gamma_ordinal_rank_pct,anchor_mse,stage3_mse,mse_gain,mse_gain_pct,sse_gain,err_dot_dyn,dyn_sq
best_sse_gain,val,1599,4,0.05217341333627701,0.9843467790487658,0.9843468070030212,0.9843467790487658,0.9843467790487658,0.46173699730072654,0.4095915379168295,0.05214545938389703,11.293324920622508,4315.141054936248,24564.915380406364,74520.70967080179
best_sse_gain,val,1600,4,0.050668276846408844,0.9813365442504516,0.9813365340232849,0.9813365442504516,0.9813365442504516,0.4847647293429972,0.4387724151086553,0.04599231423434191,9.487553745231303,3805.9559875202613,22098.939004605127,65527.14839254902
best_sse_gain,val,1589,4,0.04404575377702713,0.9680915111378687,0.9680914878845215,0.9680915111378687,0.9680915111378687,0.4594465348574359,0.416783286383746,0.04266324847368991,9.285791759628378,3530.4691376947885,23018.573882508743,67655.27316971119
best_sse_gain,val,1586,4,0.04645396023988724,0.9729078868151716,0.9729079008102417,0.9729078868151716,0.9729078868151716,0.4495157378582003,0.4086235240595908,0.04089221379860952,9.096948194394244,3383.912476262536,20965.020608465526,59282.60804970206
best_sse_gain,val,1593,4,0.047658033668994904,0.975316074653823,0.975316047668457,0.975316074653823,0.975316074653823,0.4620095822324695,0.42169662808395464,0.04031295414851488,8.725566676283913,3335.9775816979018,20292.39904737937,58601.74114893343
best_sse_gain,val,1588,4,0.045249857008457184,0.9704996989765202,0.9704996943473816,0.9704996989765202,0.9704996989765202,0.45334245290366454,0.4137312490593781,0.03961120384428646,8.737589782420807,3277.9063405223933,21051.695688966145,65009.23700577101
best_sse_gain,val,1585,4,0.04705599695444107,0.9741119807344973,0.9741119742393494,0.9741119807344973,0.9741119807344973,0.4375304462810291,0.3981783145804722,0.0393521317005569,8.994147043947825,3256.467602484481,19983.640297371618,57009.03501590056
best_sse_gain,val,1597,4,0.05458158999681473,0.9891631547260686,0.9891631603240967,0.9891631547260686,0.9891631547260686,0.5070268976585774,0.4682530926006742,0.03877380505790323,7.647287596961531,3208.6099161516104,17016.88050927899,42514.112201519485
best_sse_gain,val,1601,4,0.04916317015886307,0.9783263094521373,0.9783263206481934,0.9783263094521373,0.9783263094521373,0.4620352297843417,0.42623018598182344,0.035805043802518255,7.749418549583442,2962.9389847459897,17516.15732843798,49819.700122734874
best_sse_gain,val,1583,4,0.04886213690042496,0.9777242624924745,0.9777242541313171,0.9777242624924745,0.9777242624924745,0.41058206297593897,0.37481140556894876,0.0357706574069902,8.712182200001866,2960.0934417432545,18019.77168899192,58831.70481151724
best_sse_gain,val,1590,4,0.04374475032091141,0.9674894641782059,0.96748948097229,0.9674894641782059,0.9674894641782059,0.4593653618039393,0.42434608814535674,0.03501927365858254,7.623403192844357,2897.914933795022,18928.40691674295,54107.19533932324
best_sse_gain,val,1594,4,0.0497652068734169,0.979530403371463,0.979530394077301,0.979530403371463,0.979530403371463,0.4776666668393136,0.44426083565122687,0.03340583118808671,6.9935445588302665,2764.3993424765504,16026.41691677012,42986.01198967814
best_sse_gain,val,1587,4,0.045550890266895294,0.971101745936183,0.9711017608642578,0.971101745936183,0.971101745936183,0.4530944352300293,0.4199250877190876,0.033169347510941694,7.3206256647363395,2744.8298452254458,17252.17780352069,48024.18626739051
best_sse_gain,val,1598,4,0.053377486765384674,0.9867549668874173,0.9867549538612366,0.9867549668874173,0.9867549668874173,0.5019875676582022,0.46910476480725355,0.032882802850948634,6.550521361385224,2721.1177015217036,14627.147893219733,35266.92269980964
best_sse_gain,val,1591,4,0.044948823750019073,0.9698976520168573,0.9698976278305054,0.9698976520168573,0.9698976520168573,0.45658669455679723,0.4240292780482557,0.03255741650854155,7.130610001709448,2694.1913309148295,17208.155420650033,49464.79547395715
best_sse_gain,val,1592,4,0.04585189372301102,0.9717037928958459,0.9717037677764893,0.9717037928958459,0.9717037928958459,0.4536091763599346,0.42209666564928466,0.03151251071064992,6.947061998067924,2607.723286327702,16382.214905754838,47196.03146502628
best_sse_gain,val,1582,4,0.04946417361497879,0.9789283564118001,0.9789283275604248,0.9789283564118001,0.9789283564118001,0.40085659671379603,0.3700466153452133,0.030809981368582706,7.6860357597109585,2549.587578212955,15279.87758510123,48395.55594691821
best_sse_gain,val,1584,4,0.04856110364198685,0.9771222155328115,0.9771221876144409,0.9771222155328115,0.9771222155328115,0.4261689009658136,0.3955711906030862,0.030597710362727404,7.179714496619708,2532.0217279364188,15105.902025044292,42640.4296130199
best_sse_gain,val,1581,4,0.05006624013185501,0.9801324503311258,0.9801324605941772,0.9801324503311258,0.9801324503311258,0.3804619595191601,0.3519773150365079,0.0284846444826522,7.486857429492293,2357.1613002284357,14290.584409962577,50340.730835600785
best_sse_gain,val,1577,4,0.053678520023822784,0.9873570138470801,0.9873570203781128,0.9873570138470801,0.9873570138470801,0.3971179064349891,0.3739009757311487,0.0232169307038404,5.8463570460127725,1921.2474496042014,11318.390355035974,44160.23774050439
best_sse_gain,val,1596,4,0.05428055673837662,0.9885611077664058,0.9885610938072205,0.9885611077664058,0.9885611077664058,0.4535192605184467,0.4337550383028239,0.019764222215622795,4.357967552034958,1635.528916787218,9245.36469967367,31551.039090492468
best_sse_gain,val,1569,4,0.04434678703546524,0.9686935580975317,0.9686935544013977,0.9686935580975317,0.9686935580975317,0.34243118408576945,0.32281315409324113,0.01961802999252832,5.729043061573081,1623.431217941703,11053.9759706112,42890.727398812654
best_sse_gain,val,1571,4,0.051270343363285065,0.9825406381697772,0.9825406670570374,0.9825406381697772,0.9825406381697772,0.3404642367996317,0.3211063331474634,0.01935790365216833,5.685737754465161,1601.9052430242336,9951.764537262015,41753.04932649804
best_sse_gain,val,1570,4,0.047959066927433014,0.9759181216134859,0.9759181141853333,0.9759181216134859,0.9759181216134859,0.33830029662151007,0.31910727722502336,0.01919301939648671,5.673367593277589,1588.2607410980672,10320.44843285042,42561.22745642178
best_sse_gain,val,1568,4,0.042540647089481354,0.9650812763395545,0.9650812745094299,0.9650812763395545,0.9650812763395545,0.33648497743029593,0.31775076077000425,0.01873421666029168,5.567623494921862,1550.2938970724572,10949.539575640063,43226.35627402238
best_sse_gain,val,1572,4,0.053979553282260895,0.9879590608067429,0.987959086894989,0.9879590608067429,0.9879590608067429,0.32922059168002443,0.3107915153144924,0.018429076365532038,5.597789698234792,1525.0429274005073,9255.873207601077,40623.065106849455
best_sse_gain,val,1567,4,0.04163757711648941,0.963275135460566,0.963275134563446,0.963275135460566,0.963275135460566,0.33517314975859014,0.3175659139029275,0.01760723585566265,5.253176117581118,1457.0339815277948,10364.363458025096,38812.34341791105
best_sse_gain,val,1579,4,0.0518723800778389,0.983744732089103,0.983744740486145,0.983744732089103,0.983744732089103,0.3544462285168802,0.33689950328092405,0.01754672523595613,4.950461825867752,1452.0266067258417,8802.140551974639,34778.98119082787
best_sse_gain,val,1602,4,0.048260100185871124,0.9765201685731487,0.9765201807022095,0.9765201685731487,0.9765201685731487,0.43132556175346476,0.41417723258919126,0.0171483291642735,3.9757275443079516,1419.058535001961,9124.446015726702,36745.67436650693
best_sse_gain,val,1573,4,0.056387729942798615,0.9927754364840458,0.9927754402160645,0.9927754364840458,0.9927754364840458,0.32241090772080805,0.3052649697180726,0.01714593800273545,5.318039058896539,1418.8606616023644,8524.330349565282,39612.976322602786
best_sse_gain,val,1574,4,0.05729079991579056,0.9945815773630343,0.9945815801620483,0.9945815773630343,0.9945815773630343,0.32059387027151,0.30382905220576567,0.016764818065744314,5.229300875761049,1387.32222457647,8208.605111180741,37610.64289198433
best_sse_gain,val,1566,4,0.0413365438580513,0.962673088500903,0.9626730680465698,0.962673088500903,0.962673088500903,0.32847940769160083,0.312109254523792,0.01637015316780882,4.983616258580889,1354.6629149425135,9890.767706725683,41074.512462930084
best_sse_gain,val,1578,4,0.05247441679239273,0.9849488260084287,0.9849488139152527,0.9849488260084287,0.9849488260084287,0.34441196754678643,0.32918497269407215,0.015226994852714282,4.421157302161918,1260.06427805181,7889.613328231094,35948.601008609054
best_sse_gain,val,1557,4,0.034714050590991974,0.9494280553883203,0.9494280815124512,0.9494280553883203,0.9494280553883203,0.397871821944542,0.3830780996110199,0.014793722333522108,3.7182131323650647,1224.2101105436232,10203.612641273025,39961.483802659866
best_sse_gain,val,1560,4,0.037122227251529694,0.9542444310656231,0.9542444348335266,0.9542444310656231,0.9542444310656231,0.3546136513311352,0.33995285446191364,0.01466079686922156,4.1343013203773795,1213.210262521825,9523.845515268144,36459.806385656455
best_sse_gain,val,1575,4,0.056688763201236725,0.9933774834437086,0.9933775067329407,0.9933774834437086,0.9933774834437086,0.3234819828377429,0.30971952151490434,0.013762461322838537,4.254475381320303,1138.8711993875368,6989.659117138139,34701.51228370044
best_sse_gain,val,1559,4,0.03621915727853775,0.9524382901866345,0.9524382948875427,0.9524382901866345,0.9524382901866345,0.3811972128115324,0.3679354145319563,0.013261798279576131,3.478986160933158,1097.4403312314826,8958.017317045162,38184.71626663122
best_sse_gain,val,1561,4,0.03772426396608353,0.9554485249849488,0.9554485082626343,0.9554485249849488,0.9554485249849488,0.3358931767252346,0.32325344453618865,0.01263973218904596,3.763021420165805,1045.9631181079312,8325.744809803864,36955.2897861386
best_sse_gain,val,1576,4,0.05578569322824478,0.99157134256472,0.9915713667869568,0.99157134256472,0.99157134256472,0.3328773602600529,0.3205362742601053,0.012341085999947599,3.707397219896963,1021.2495486676635,6411.693813709072,32894.26858263414
best_sse_gain,val,1565,4,0.040132470428943634,0.9602649006622517,0.9602649211883545,0.9602649006622517,0.9602649006622517,0.31900221474233975,0.30669205227581187,0.012310162466527885,3.858958307380683,1018.690564430115,7898.5350096363845,38690.23604574097
