target_index,alpha_raw,alpha_clipped,alpha_shrunk,denominator,reliability
72,0.8491740536114731,0.8491740536114731,0.73205157429947,730.0665726823994,0.4795826075331154
73,0.00888664598758538,0.00888664598758538,0.09742377830698046,4712.863954461608,0.8560915916095155
74,0.7133681337901632,0.7133681337901632,0.6703643950298674,851.945060315156,0.5181598353473805
75,0.7746546758285524,0.7746546758285524,0.6906769853266913,627.8935454505266,0.4421403365395716
76,0.6360413617382534,0.6360413617382534,0.6297594773148585,711.3186621484009,0.4730934634186054
77,0.673179927399344,0.673179927399344,0.6461990359785725,648.3225347299224,0.4500515478247035
78,0.9852192996177397,0.9852192996177397,0.8250041159033169,993.3323445142489,0.556313699480177
79,0.9935933243510771,0.9935933243510771,0.8313870138389691,1012.3135260716848,0.5609806381656917
80,0.3605014342312945,0.3605014342312945,0.49317473042431514,781.9056670855556,0.49672088902560435
81,0.6476380172027288,0.6476380172027288,0.6379622023987793,1133.4301160817624,0.5885932733844272
82,0.8043797105824531,0.8043797105824531,0.7057248010367482,655.3183112748374,0.45270936490608565
83,1.3564621229734186,1.0,0.8075561882893711,755.1511537997308,0.48801909331649984
84,0.5383160232068854,0.5383160232068854,0.5771636229867475,957.576524930319,0.547247340197073
85,0.9404799036758971,0.9404799036758971,0.7800440889989615,769.9545047876004,0.49287065659427953
86,0.7410986088788984,0.7410986088788984,0.6825477957012951,790.5760138958296,0.49947776928847526
87,0.9531966707708167,0.9531966707708167,0.769554808264974,627.4079464119378,0.4419495158652266
88,1.8261088487066024,1.0,0.8121203805983834,792.7419340019745,0.5001617509362716
89,0.8273024118358276,0.8273024118358276,0.7151144985605685,642.5751144530195,0.4478486098566883
90,0.6961946692906035,0.6961946692906035,0.6636257405894214,960.9853713845525,0.548127645626013
91,0.5275189434431606,0.5275189434431606,0.5742358362573105,845.9258597071138,0.5163893725285614
92,0.5968573499781782,0.5968573499781782,0.6127977510426743,562.6679689087282,0.4152846317636238
93,0.8382789918373014,0.8382789918373014,0.7307059328098766,784.9655977771607,0.49769730564024334
94,0.7190108167646353,0.7190108167646353,0.6657294307118173,618.6939044443824,0.43850292451803996
95,0.8880423031028862,0.8880423031028862,0.7379538274642616,600.8665484310844,0.431317482794084
96,0.8065856653867949,0.8065856653867949,0.7126885533337769,747.2781116473204,0.4854008223620788
97,1.91183248197873,1.0,0.7967958600541709,673.2122698805778,0.45939212653019607
98,0.7141578473846241,0.7141578473846241,0.661632384764403,565.8030959577954,0.4166344943420308
99,0.5819742980449047,0.5819742980449047,0.6054396720237782,630.6499997025787,0.44322104293363224
100,1.0636262077036744,1.0,0.8572132958093166,1293.2855178119419,0.6201277369011021
101,1.0423166207346577,1.0,0.7958710047951961,666.5727366668427,0.45693162530736187
102,0.6286181809604791,0.6286181809604791,0.6262745859772921,728.6194860694395,0.47908743069388293
103,1.1963529485595787,1.0,0.8709518833588046,1515.311434843918,0.6566781172308896
104,0.6623005375969566,0.6623005375969566,0.6393003152922832,522.9059021563406,0.3976062262592703
105,0.2595726567410619,0.2595726567410619,0.4294618161032483,907.7285062299794,0.5339712315830918
106,0.18435647525194862,0.18435647525194862,0.284196016684938,2697.298445212608,0.7729695033139823
107,0.566068602546706,0.566068602546706,0.5933008418785253,896.5540220074412,0.5308875728434543
108,0.7172093808091752,0.7172093808091752,0.6945679312010847,2465.017554247351,0.7567794968021606
109,0.5303623652028062,0.5303623652028062,0.5710739666115353,1032.2353260486357,0.5657744041292161
110,1.550187913875153,1.0,0.780079651927178,561.8236480272362,0.41492003196351374
111,-0.025299419113267843,0.0,0.2631508884663309,1086.7134307893398,0.5783643508338236
112,1.2879881612521833,1.0,0.8348623324989888,1011.016405700277,0.5606648403852186
113,0.4556904426237223,0.4556904426237223,0.5374193547543484,840.4139655308924,0.5147566761322945
114,1.2371364620689005,1.0,0.8904180750117276,1925.2241837838583,0.7084663164124997
115,0.9617767928860208,0.9617767928860208,0.8829524706124794,2601.421698671599,0.7665554831087608
116,1.053267965114079,1.0,0.8438491525726239,1114.7971024429123,0.5845735348171273
117,0.5454509078991276,0.5454509078991276,0.6001863311836241,346.39885706077655,0.3042247703984335
118,0.7396751149607687,0.7396751149607687,0.6738982508827821,599.5489011949552,0.43077909025131844
119,0.851392011391936,0.851392011391936,0.7846352513850054,1904.9086728898226,0.7062704124507192
120,0.8758453581159334,0.8758453581159334,0.7459922292323972,743.5431220731689,0.4841493200758105
121,0.9462410285147614,0.9462410285147614,0.8018611667811568,975.291169220381,0.5517849695742432
122,0.5652059264504049,0.5652059264504049,0.5916453126856869,973.0457442731157,0.5512148412673838
123,1.1416420210636749,1.0,0.8276230595184323,935.2859332681728,0.5414053510237845
124,0.66702752605101,0.66702752605101,0.6420359700369346,567.9605358052125,0.4175597887777834
125,0.6491658165342039,0.6491658165342039,0.638235424473187,1023.1393656769943,0.5635987033362353
126,0.7681568550823071,0.7681568550823071,0.683028935549909,548.2342547849347,0.40898858953759454
127,0.5710535532548836,0.5710535532548836,0.5854681131574478,2124.275056671612,0.7283634361246706
128,1.525262819144519,1.0,0.7928885852383372,645.5658819299641,0.4489971437812567
129,0.9033916502556854,0.9033916502556854,0.7538039636493721,686.8218049493395,0.46436654717104026
130,0.5379239858464774,0.5379239858464774,0.5777949032285324,920.4561462931078,0.5374344751152377
131,0.9311990815175016,0.9311990815175016,0.8221995048894402,1439.6847602578507,0.645044921305027
132,0.8549417642486763,0.8549417642486763,0.7480659680104456,918.7700182417433,0.5369786334631579
133,1.1482624477354575,1.0,0.8618414515558201,1363.147911426919,0.6324405639767283
134,0.7621483974583341,0.7621483974583341,0.672575674131402,428.5753658469349,0.3510597685642546
135,0.7864019914142877,0.7864019914142877,0.7039583039942998,767.2012275978622,0.49197528631349263
136,0.6276944731074467,0.6276944731074467,0.6261962456467387,1098.314854396781,0.5809517403109614
137,0.6305523344026235,0.6305523344026235,0.627081234533382,676.0507029842435,0.46043721288497563
138,0.7583623998484009,0.7583623998484009,0.7016465942665389,1082.9343537380205,0.5775146150288265
139,0.7255229041737379,0.7255229041737379,0.6662021224274609,562.018030884792,0.41500401184110935
140,0.8937677319037364,0.8937677319037364,0.8241071007317552,2274.4020517028025,0.7416614096411512
141,0.4818328806457956,0.4818328806457956,0.5786664848826281,371.864073594115,0.31944525778608635
