horizon,target_index,alpha_raw,alpha_clipped,alpha_shrunk,denominator,reliability,alpha_rank_desc
96,0,0.8086027907949027,0.8086027907949027,0.7206210359923516,6830.385987697861,0.7299459424632535,4
96,1,0.6439243930974354,0.6439243930974354,0.5606127256513411,2359.9135529648547,0.4829046987878027,22
96,2,0.2598689112039591,0.2598689112039591,0.3599606331858144,3101.550390062217,0.5510389237764411,116
96,3,0.807902610175202,0.807902610175202,0.6277727509532598,2033.6535186723856,0.4459127354029641,11
96,4,0.7654213292090554,0.7654213292090554,0.681348276066451,5967.513480114765,0.7025138569966725,7
96,5,0.310215025615541,0.310215025615541,0.392961342692902,2743.8891785436394,0.52057424224789,105
96,6,0.3330432129780712,0.3330432129780712,0.4068956254066765,2597.542642651512,0.5068828159595725,103
96,7,0.5098003437103897,0.5098003437103897,0.4948609035279375,2038.461508049272,0.4464962570544452,56
96,8,0.3803907687388773,0.3803907687388773,0.4288499340163487,2813.838213823892,0.5268532882397121,95
96,9,0.5735160322238091,0.5735160322238091,0.5273802913195984,2441.273661325974,0.4913726158113113,36
96,10,0.4536610858235199,0.4536610858235199,0.4689188772360129,2300.59696342094,0.4765511590246012,75
96,11,0.4626216629801274,0.4626216629801274,0.4718107895867334,3024.6798262891743,0.5448224466628171,74
96,12,0.5529572683777036,0.5529572683777036,0.5182027423492829,2573.4289144444124,0.5045514642678888,43
96,13,0.3931240144795969,0.3931240144795969,0.4399131161999222,2316.770035908347,0.4782989248881106,88
96,14,0.4770566169814813,0.4770566169814813,0.4794376358570079,3578.7724605985622,0.5861293456970738,66
96,15,0.8199339303793488,0.8199339303793488,0.7248555327239565,6433.1113461424575,0.7179722488472382,3
96,16,0.6801294906304791,0.6801294906304791,0.5753056258555022,2229.809915223597,0.4687616113193141,20
96,17,0.5254419939533093,0.5254419939533093,0.5051600410214512,2784.7118647949496,0.5242588259594193,52
96,18,0.4708678887262293,0.4708678887262293,0.476989650863071,2402.442746326564,0.4873659831263931,70
96,19,0.217104901464872,0.217104901464872,0.3469304298727604,2644.8330178218143,0.5113917968610816,120
96,20,0.5774254290906803,0.5774254290906803,0.5285801819280838,2367.929317390101,0.4837514758888832,35
96,21,0.4825854176762965,0.4825854176762965,0.4827026257887895,2307.8179093184144,0.4773329455931811,63
96,22,0.6404028107047236,0.6404028107047236,0.599899245387404,7305.168547086635,0.7429864995929835,16
96,23,0.495999343514348,0.495999343514348,0.4905681094091438,3609.784135373746,0.5882208029966344,58
96,24,0.4385713728378714,0.4385713728378714,0.461825287793827,2280.3699822967264,0.4743487511171141,76
96,25,0.5658674276514594,0.5658674276514594,0.5232448339993212,2397.3123033137927,0.4868318903620575,38
96,26,0.493464789751076,0.493464789751076,0.487972930071346,2375.800747117487,0.4845803111052801,59
96,27,0.3032545727519414,0.3032545727519414,0.3906109903731316,2667.0743927353747,0.5134840499278676,106
96,28,0.4739373678024166,0.4739373678024166,0.4782925320154137,2620.9809122978804,0.5091279317744658,67
96,29,0.4803659773284273,0.4803659773284273,0.4816268057474936,2370.736778886784,0.484047397841764,65
96,30,0.8054679959584234,0.8054679959584234,0.7086614497047479,5895.546239700807,0.6999719586233901,6
96,31,0.5215616405480292,0.5215616405480292,0.5038844877299192,3012.706415825164,0.5438386350312341,53
96,32,0.5954852368471675,0.5954852368471675,0.5343677501323489,2131.7512393641755,0.4575799599588241,31
96,33,0.4211004359724399,0.4211004359724399,0.452423693152874,2451.3849101400324,0.4924056532424666,83
96,34,0.5943406994015895,0.5943406994015895,0.5348702727138047,2212.1440853663094,0.466781345120866,30
96,35,0.3807132915318301,0.3807132915318301,0.4279983315275378,2929.2192759582463,0.5368587822728794,97
96,36,0.7275839890516145,0.7275839890516145,0.5921197449931204,2039.1105804326644,0.4465749375816708,17
96,37,0.3332350368791635,0.3332350368791635,0.4116548219889684,2292.8945823970585,0.4757146672115559,101
96,38,0.4243965651644642,0.4243965651644642,0.4532200164485609,2594.1741058187768,0.5065584599937306,81
96,39,0.4663156076254426,0.4663156076254426,0.4751125066247039,2211.0890065952303,0.4666626078676077,71
96,40,0.3142520710474002,0.3142520710474002,0.3901954254881208,3081.720562611873,0.549451606231057,107
96,41,0.5321122225527756,0.5321122225527756,0.5074355405471337,2521.796991418972,0.4994847205803875,51
96,42,-0.0169347044660309,0.0,0.2402276328571229,2551.7664755650303,0.5024382299778845,134
96,43,0.5177892089618608,0.5177892089618608,0.4996685694294461,2351.0453798135118,0.4819646315599664,55
96,44,0.7271445742126968,0.7271445742126968,0.6520622818110673,5696.434600165933,0.6927074666449219,8
96,45,0.5745984617199602,0.5745984617199602,0.5455451657156252,5456.613529563372,0.6834766561375385,26
96,46,0.602723317744868,0.602723317744868,0.5413175300467625,2407.743275521039,0.4879166159314121,28
96,47,0.198878322383083,0.198878322383083,0.3390216746464661,2592.7185504130925,0.5064181726940459,124
96,48,0.5491181891178054,0.5491181891178054,0.5162139899559824,2565.4088807767,0.5037711824852227,44
96,49,0.337994050069658,0.337994050069658,0.4085886826612294,2656.8087098603955,0.51252058490332,102
96,50,0.7705207956329094,0.7705207956329094,0.6257923154686132,2496.517347508348,0.4969659977465166,12
96,51,0.2304099526797737,0.2304099526797737,0.3542279610311788,2624.2223295245426,0.5094368140267613,119
96,52,0.5977566226645509,0.5977566226645509,0.5405719583751541,2552.52548131208,0.5025125779142925,29
96,53,0.4184677026392452,0.4184677026392452,0.4524441647531749,2258.4349128457347,0.4719393156774365,82
96,54,0.3983977317499413,0.3983977317499413,0.4381785254886086,2835.109336159413,0.5287302289768206,90
96,55,0.5001751936105433,0.5001751936105433,0.4906380165723238,2074.2236445554704,0.4507982596570742,57
