horizon,target_index,alpha_raw,alpha_clipped,alpha_shrunk,denominator,reliability,alpha_rank_desc
96,73,0.9363414825309642,0.9363414825309642,0.8263558393539847,7893.222933506982,0.7574907876659652,1
96,135,0.833853154124682,0.833853154124682,0.738500512218652,6776.223185904502,0.7283737041127979,2
96,15,0.8199339303793488,0.8199339303793488,0.7248555327239565,6433.1113461424575,0.7179722488472382,3
96,0,0.8086027907949027,0.8086027907949027,0.7206210359923516,6830.385987697861,0.7299459424632535,4
96,96,0.798329638862521,0.798329638862521,0.7105503056959219,6556.219877875248,0.7217946843422278,5
96,30,0.8054679959584234,0.8054679959584234,0.7086614497047479,5895.546239700807,0.6999719586233901,6
96,4,0.7654213292090554,0.7654213292090554,0.681348276066451,5967.513480114765,0.7025138569966725,7
96,44,0.7271445742126968,0.7271445742126968,0.6520622818110673,5696.434600165933,0.6927074666449219,8
96,68,0.7140854918079358,0.7140854918079358,0.6502614472211887,6629.956811647266,0.7240349490057146,9
96,63,0.7928789550601948,0.7928789550601948,0.6354141927342981,2449.0028135414736,0.4921626592582953,10
96,3,0.807902610175202,0.807902610175202,0.6277727509532598,2033.6535186723856,0.4459127354029641,11
96,50,0.7705207956329094,0.7705207956329094,0.6257923154686132,2496.517347508348,0.4969659977465166,12
96,121,0.682001046284951,0.682001046284951,0.6253443685562847,6357.330044184756,0.7155666166964084,13
96,66,0.788740456807301,0.788740456807301,0.6192855820511743,2035.200498531221,0.4461006188212329,14
96,123,0.7784879097793267,0.7784879097793267,0.6082098081551653,1860.9918780299377,0.4241101393149836,15
96,22,0.6404028107047236,0.6404028107047236,0.599899245387404,7305.168547086635,0.7429864995929835,16
96,36,0.7275839890516145,0.7275839890516145,0.5921197449931204,2039.1105804326644,0.4465749375816708,17
96,129,0.6638536381915464,0.6638536381915464,0.5815876416136088,3034.205597637904,0.5456021188332575,18
96,110,0.6752408685280696,0.6752408685280696,0.5812830063560109,2648.4439752141293,0.511732703532343,19
96,16,0.6801294906304791,0.6801294906304791,0.5753056258555022,2229.809915223597,0.4687616113193141,20
192,44,0.9363906584026112,0.9363906584026112,0.8340773487183396,11081.177004414349,0.6547531584560635,1
192,63,0.9789251735401076,0.9789251735401076,0.8018362236823012,5338.368560067345,0.4774330554828779,2
192,85,0.9683965328621652,0.9683965328621652,0.8010414765796388,5621.1170022960105,0.4903214988100126,3
192,66,1.034082835935736,1.0,0.8005540662358286,4702.399201939833,0.4459183010445443,4
192,96,0.8545197569209769,0.8545197569209769,0.7841448959615978,11964.430747143666,0.6718774747793846,5
192,89,0.916203176045464,0.916203176045464,0.7821516228816041,6194.246760205291,0.5145887777274499,6
192,16,0.9303594033499152,0.9303594033499152,0.7783426366457977,5315.810889135001,0.4763766827930437,7
192,3,0.9308733910389608,0.9308733910389608,0.775537232204373,5096.690504183216,0.4658886124088149,8
192,12,0.9009100300927824,0.9009100300927824,0.7754243145158627,6303.829410226496,0.5189679059354422,9
192,4,0.8444283132386196,0.8444283132386196,0.7751676980808901,11399.568506249843,0.6611282805088409,10
192,50,0.903142148427056,0.903142148427056,0.774426067873174,6100.308193514217,0.5107708468033471,11
192,116,0.9015762027471144,0.9015762027471144,0.7734693751384782,6085.68483416681,0.510171102848267,12
192,73,0.8213082156696311,0.8213082156696311,0.7696876190960722,14674.77944658561,0.7152216011142581,13
192,100,0.901752249031486,0.901752249031486,0.7677412061274674,5567.809241780175,0.487940444928541,14
192,53,0.8864144813374258,0.8864144813374258,0.753418695796146,4981.068268551673,0.4601832723638616,15
192,135,0.8074182376665564,0.8074182376665564,0.7529888923147358,12124.888310823982,0.67480768319239,16
192,86,0.859868355695645,0.859868355695645,0.752786206069282,6151.963086407734,0.5128776494083727,17
192,32,0.8773982418306701,0.8773982418306701,0.7527201285510515,5280.632835822448,0.4747207487959254,18
192,0,0.7903516132201618,0.7903516132201618,0.7419958027836845,12319.446049573866,0.6782911667708698,19
192,87,0.8385781113069656,0.8385781113069656,0.7415888314003175,6117.57147838868,0.5114769737752429,20
