model,feature,coef_standardized,abs_coef,train_mean,train_std
huber,dynamic_energy_target,-0.19897511727113162,0.19897511727113162,0.46163580572418156,0.2631723899726015
huber,lambda_rank,-0.0845463532705216,0.0845463532705216,0.5000968804495253,0.2886753331571242
huber,input_abs_mean,-0.07674753430511688,0.07674753430511688,0.8551541411052076,0.17437941312176602
huber,dynamic_abs_mean_target,-0.06313856719618202,0.06313856719618202,0.5827880620328306,0.1984153201800659
huber,input_sq_mean,0.0506744188531033,0.0506744188531033,0.981283924158542,0.43445139298457286
huber,input_delta_abs_mean,0.03922671744410348,0.03922671744410348,0.05541512569953229,0.02695570448090135
huber,gamma_active,-0.0261962326095984,0.0261962326095984,0.049990311955047474,0.21792509684006975
huber,reliability,0.009713870834141002,0.009713870834141002,0.5198921034501363,0.06981639414688046
huber,gamma_selected,-0.005693102817490409,0.005693102817490409,0.010626024370437397,0.003064648449006459
huber,alpha_shrunk,0.0011187774600964781,0.0011187774600964781,0.47244132247961756,0.11012577196504934
ridge,dynamic_abs_mean_target,-0.1295447801196742,0.1295447801196742,0.5827880620328306,0.1984153201800659
ridge,dynamic_energy_target,-0.06719392583037109,0.06719392583037109,0.46163580572418156,0.2631723899726015
ridge,input_delta_abs_mean,0.05825853631081182,0.05825853631081182,0.05541512569953229,0.02695570448090135
ridge,gamma_active,-0.05053177132894438,0.05053177132894438,0.049990311955047474,0.21792509684006975
ridge,lambda_rank,-0.04596217891219598,0.04596217891219598,0.5000968804495253,0.2886753331571242
ridge,input_abs_mean,-0.027327846367264905,0.027327846367264905,0.8551541411052076,0.17437941312176602
ridge,reliability,0.018245970296418668,0.018245970296418668,0.5198921034501363,0.06981639414688046
ridge,input_sq_mean,0.0038081219156056267,0.0038081219156056267,0.981283924158542,0.43445139298457286
ridge,gamma_selected,0.002544479013488707,0.002544479013488707,0.010626024370437397,0.003064648449006459
ridge,alpha_shrunk,0.001120065556777913,0.001120065556777913,0.47244132247961756,0.11012577196504934
